Speech,Speaker,Passage
urn:cite:hmt:speech.1,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.17-1.21
urn:cite:hmt:speech.43,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.26-1.32
urn:cite:hmt:speech.44,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.37-1.42
urn:cite:hmt:speech.45,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.59-1.67
urn:cite:hmt:speech.46,urn:cite:hmt:pers.pers74,urn:cts:greekLit:tlg0012.tlg001.msA:1.74-1.83
urn:cite:hmt:speech.47,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.85-1.91
urn:cite:hmt:speech.48,urn:cite:hmt:pers.pers74,urn:cts:greekLit:tlg0012.tlg001.msA:1.93-1.100
urn:cite:hmt:speech.49,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.106-1.120
urn:cite:hmt:speech.50,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.122-1.129
urn:cite:hmt:speech.51,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.131-1.147
urn:cite:hmt:speech.52,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.149-1.171
urn:cite:hmt:speech.53,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.173-1.187
urn:cite:hmt:speech.54,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.202-1.205
urn:cite:hmt:speech.55,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:1.207-1.214
urn:cite:hmt:speech.56,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.216-1.218
urn:cite:hmt:speech.57,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.225-1.244
urn:cite:hmt:speech.58,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:1.254-1.284
urn:cite:hmt:speech.59,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.286-1.291
urn:cite:hmt:speech.60,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.293-1.303
urn:cite:hmt:speech.61,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.322-1.325
urn:cite:hmt:speech.62,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.334-1.344
urn:cite:hmt:speech.63,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.352-1.356
urn:cite:hmt:speech.64,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.362-1.363
urn:cite:hmt:speech.65,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.365-1.412
urn:cite:hmt:speech.66,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.414-1.427
urn:cite:hmt:speech.67,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:1.442-1.445
urn:cite:hmt:speech.68,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.451-1.456
urn:cite:hmt:speech.69,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.503-1.510
