page.v1	rv	sequence	label
urn:cite:hmt:comp.fm1.v1	recto	1	Front Cover
urn:cite:hmt:comp.fm2.v1	verso	2	Inside Front Fover
urn:cite:hmt:comp.fm3.v1	recto	3	Flyleaf
urn:cite:hmt:comp.fm4.v1	verso	4	Flyleaf
urn:cite:hmt:comp.praef1.v1	recto	5	Title Page
urn:cite:hmt:comp.praef2.v1	verso	6	Preface 2
urn:cite:hmt:comp.praef3.v1	recto	7	Preface 3
urn:cite:hmt:comp.praef4.v1	verso	8	Preface 4
urn:cite:hmt:comp.praef5.v1	recto	9	Preface 5
urn:cite:hmt:comp.praef6.v1	verso	10	Preface 6
urn:cite:hmt:comp.praef7.v1	recto	11	Preface 7
urn:cite:hmt:comp.praef8.v1	verso	12	Preface 8
urn:cite:hmt:comp.praef9.v1	recto	13	Preface 9
urn:cite:hmt:comp.praef10.v1	verso	14	Preface 10
urn:cite:hmt:comp.praef11.v1	recto	15	Preface 11
urn:cite:hmt:comp.praef12.v1	verso	16	Preface 12
urn:cite:hmt:comp.praef13.v1	recto	17	Preface 13
urn:cite:hmt:comp.praef14.v1	verso	18	Preface 14 
urn:cite:hmt:comp.praef15.v1	recto	19	Preface 15
urn:cite:hmt:comp.praef16.v1	verso	20	Preface 16
urn:cite:hmt:comp.va1r.v1	recto	21	Venetus A Folio 1 recto
urn:cite:hmt:comp.va1v.v1	verso	22	Venetus A Folio 1 verso
urn:cite:hmt:comp.va2r.v1	recto	23	Venetus A Folio 2 recto
urn:cite:hmt:comp.va2v.v1	verso	24	Venetus A Folio 2 verso
urn:cite:hmt:comp.va3r.v1	recto	25	Venetus A Folio 3 recto
urn:cite:hmt:comp.va3v.v1	verso	26	Venetus A Folio 3 verso
urn:cite:hmt:comp.va4r.v1	recto	27	Venetus A Folio 4 recto
urn:cite:hmt:comp.va4v.v1	verso	28	Venetus A Folio 4 verso
urn:cite:hmt:comp.va5r.v1	recto	29	Venetus A Folio 5 recto
urn:cite:hmt:comp.va5v.v1	verso	30	Venetus A Folio 5 verso
urn:cite:hmt:comp.va6r.v1	recto	31	Venetus A Folio 6 recto
urn:cite:hmt:comp.va6v.v1	verso	32	Venetus A Folio 6 verso
urn:cite:hmt:comp.va7r.v1	recto	33	Venetus A Folio 7 recto
urn:cite:hmt:comp.va7v.v1	verso	34	Venetus A Folio 7 verso
urn:cite:hmt:comp.va8r.v1	recto	35	Venetus A Folio 8 recto
urn:cite:hmt:comp.va8v.v1	verso	36	Venetus A Folio 8 verso
urn:cite:hmt:comp.va9r.v1	recto	37	Venetus A Folio 9 recto
urn:cite:hmt:comp.va9v.v1	verso	38	Venetus A Folio 9 verso
urn:cite:hmt:comp.va10r.v1	recto	39	Venetus A Folio 10 recto
urn:cite:hmt:comp.va10v.v1	verso	40	Venetus A Folio 10 verso
urn:cite:hmt:comp.va11r.v1	recto	41	Venetus A Folio 11 recto
urn:cite:hmt:comp.va11v.v1	verso	42	Venetus A Folio 11 verso
urn:cite:hmt:comp.va12r.v1	recto	43	Venetus A Folio 12 recto
urn:cite:hmt:comp.va12v.v1	verso	44	Venetus A Folio 12 verso
urn:cite:hmt:comp.va13r.v1	recto	45	Venetus A Folio 13 recto
urn:cite:hmt:comp.va13v.v1	verso	46	Venetus A Folio 13 verso
urn:cite:hmt:comp.va14r.v1	recto	47	Venetus A Folio 14 recto
urn:cite:hmt:comp.va14v.v1	verso	48	Venetus A Folio 14 verso
urn:cite:hmt:comp.va15r.v1	recto	49	Venetus A Folio 15 recto
urn:cite:hmt:comp.va15v.v1	verso	50	Venetus A Folio 15 verso
urn:cite:hmt:comp.va16r.v1	recto	51	Venetus A Folio 16 recto
urn:cite:hmt:comp.va16v.v1	verso	52	Venetus A Folio 16 verso
urn:cite:hmt:comp.va17r.v1	recto	53	Venetus A Folio 17 recto
urn:cite:hmt:comp.va17v.v1	verso	54	Venetus A Folio 17 verso
urn:cite:hmt:comp.va18r.v1	recto	55	Venetus A Folio 18 recto
urn:cite:hmt:comp.va18v.v1	verso	56	Venetus A Folio 18 verso
urn:cite:hmt:comp.va19r.v1	recto	57	Venetus A Folio 19 recto
urn:cite:hmt:comp.va19v.v1	verso	58	Venetus A Folio 19 verso
urn:cite:hmt:comp.va20r.v1	recto	59	Venetus A Folio 20 recto
urn:cite:hmt:comp.va20v.v1	verso	60	Venetus A Folio 20 verso
urn:cite:hmt:comp.va21r.v1	recto	61	Venetus A Folio 21 recto
urn:cite:hmt:comp.va21v.v1	verso	62	Venetus A Folio 21 verso
urn:cite:hmt:comp.va22r.v1	recto	63	Venetus A Folio 22 recto
urn:cite:hmt:comp.va22v.v1	verso	64	Venetus A Folio 22 verso
urn:cite:hmt:comp.va23r.v1	recto	65	Venetus A Folio 23 recto
urn:cite:hmt:comp.va23v.v1	verso	66	Venetus A Folio 23 verso
urn:cite:hmt:comp.va24r.v1	recto	67	Venetus A Folio 24 recto
urn:cite:hmt:comp.va24v.v1	verso	68	Venetus A Folio 24 verso
urn:cite:hmt:comp.va25r.v1	recto	69	Venetus A Folio 25 recto
urn:cite:hmt:comp.va25v.v1	verso	70	Venetus A Folio 25 verso
urn:cite:hmt:comp.va26r.v1	recto	71	Venetus A Folio 26 recto
urn:cite:hmt:comp.va26v.v1	verso	72	Venetus A Folio 26 verso
urn:cite:hmt:comp.va27r.v1	recto	73	Venetus A Folio 27 recto
urn:cite:hmt:comp.va27v.v1	verso	74	Venetus A Folio 27 verso
urn:cite:hmt:comp.va28r.v1	recto	75	Venetus A Folio 28 recto
urn:cite:hmt:comp.va28v.v1	verso	76	Venetus A Folio 28 verso
