Sequence,PageUrn,RV,Label
2,urn:cite:hmt:e3.1r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 1 recto"
3,urn:cite:hmt:e3.1v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 1 verso"
4,urn:cite:hmt:e3.2r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 2 recto"
5,urn:cite:hmt:e3.2v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 2 verso"
6,urn:cite:hmt:e3.3r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 3 recto"
7,urn:cite:hmt:e3.3v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 3 verso"
8,urn:cite:hmt:e3.4r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 4 recto"
9,urn:cite:hmt:e3.4v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 4 verso"
10,urn:cite:hmt:e3.5r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 5 recto"
11,urn:cite:hmt:e3.5v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 5 verso"
12,urn:cite:hmt:e3.6r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 6 recto"
13,urn:cite:hmt:e3.6v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 6 verso"
14,urn:cite:hmt:e3.7r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 7 recto"
15,urn:cite:hmt:e3.7v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 7 verso"
16,urn:cite:hmt:e3.8r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 8 recto"
17,urn:cite:hmt:e3.8v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 8 verso"
18,urn:cite:hmt:e3.9r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 9 recto"
19,urn:cite:hmt:e3.9v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 9 verso"
20,urn:cite:hmt:e3.10r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 10 recto"
21,urn:cite:hmt:e3.10v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 10 verso"
22,urn:cite:hmt:e3.11r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 11 recto"
23,urn:cite:hmt:e3.11v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 11 verso"
24,urn:cite:hmt:e3.12r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 12 recto"
25,urn:cite:hmt:e3.12v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 12 verso"
26,urn:cite:hmt:e3.13r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 13 recto"
27,urn:cite:hmt:e3.13v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 13 verso"
28,urn:cite:hmt:e3.14r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 14 recto"
29,urn:cite:hmt:e3.14v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 14 verso"
30,urn:cite:hmt:e3.15r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 15 recto"
31,urn:cite:hmt:e3.15v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 15 verso"
32,urn:cite:hmt:e3.16r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 16 recto"
33,urn:cite:hmt:e3.16v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 16 verso"
34,urn:cite:hmt:e3.17r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 17 recto"
35,urn:cite:hmt:e3.17v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 17 verso"
36,urn:cite:hmt:e3.18r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 18 recto"
37,urn:cite:hmt:e3.18v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 18 verso"
38,urn:cite:hmt:e3.19r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 19 recto"
39,urn:cite:hmt:e3.19v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 19 verso"
40,urn:cite:hmt:e3.20r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 20 recto"
41,urn:cite:hmt:e3.20v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 20 verso"
42,urn:cite:hmt:e3.21r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 21 recto"
43,urn:cite:hmt:e3.21v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 21 verso"
44,urn:cite:hmt:e3.22r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 22 recto"
45,urn:cite:hmt:e3.22v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 22 verso"
46,urn:cite:hmt:e3.23r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 23 recto"
47,urn:cite:hmt:e3.23v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 23 verso"
48,urn:cite:hmt:e3.24r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 24 recto"
49,urn:cite:hmt:e3.24v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 24 verso"
50,urn:cite:hmt:e3.25r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 25 recto"
51,urn:cite:hmt:e3.25v.v1,verso,"Escorialensis 291 (Υ.i.1), folio 25 verso"
52,urn:cite:hmt:e3.26r.v1,recto,"Escorialensis 291 (Υ.i.1), folio 26 recto"
