Sequence,PageUrn,RV,Label
-2,urn:cite:hmt:msA.insidefrontcover,verso,"Venetus A (Marciana 454 = 822), inside front cover"
-1,urn:cite:hmt:msA.ir,recto,"Venetus A (Marciana 454 = 822), folio i, recto"
0,urn:cite:hmt:msA.iv,verso,"Venetus A (Marciana 454 = 822), folio i, verso"
1,urn:cite:hmt:msA.1r,recto,"Venetus A (Marciana 454 = 822), folio 1, recto"
2,urn:cite:hmt:msA.1v,verso,"Venetus A (Marciana 454 = 822), folio 1, verso"
3,urn:cite:hmt:msA.2r,recto,"Venetus A (Marciana 454 = 822), folio 2, recto"
4,urn:cite:hmt:msA.2v,verso,"Venetus A (Marciana 454 = 822), folio 2, verso"
5,urn:cite:hmt:msA.3r,recto,"Venetus A (Marciana 454 = 822), folio 3, recto"
6,urn:cite:hmt:msA.3v,verso,"Venetus A (Marciana 454 = 822), folio 3, verso"
7,urn:cite:hmt:msA.4r,recto,"Venetus A (Marciana 454 = 822), folio 4, recto"
8,urn:cite:hmt:msA.4v,verso,"Venetus A (Marciana 454 = 822), folio 4, verso"
9,urn:cite:hmt:msA.5r,recto,"Venetus A (Marciana 454 = 822), folio 5, recto"
10,urn:cite:hmt:msA.5v,verso,"Venetus A (Marciana 454 = 822), folio 5, verso"
11,urn:cite:hmt:msA.6r,recto,"Venetus A (Marciana 454 = 822), folio 6, recto"
12,urn:cite:hmt:msA.6v,verso,"Venetus A (Marciana 454 = 822), folio 6, verso"
13,urn:cite:hmt:msA.7r,recto,"Venetus A (Marciana 454 = 822), folio 7, recto"
14,urn:cite:hmt:msA.7v,verso,"Venetus A (Marciana 454 = 822), folio 7, verso"
15,urn:cite:hmt:msA.8r,recto,"Venetus A (Marciana 454 = 822), folio 8, recto"
16,urn:cite:hmt:msA.8v,verso,"Venetus A (Marciana 454 = 822), folio 8, verso"
17,urn:cite:hmt:msA.9r,recto,"Venetus A (Marciana 454 = 822), folio 9, recto"
18,urn:cite:hmt:msA.9v,verso,"Venetus A (Marciana 454 = 822), folio 9, verso"
19,urn:cite:hmt:msA.10r,recto,"Venetus A (Marciana 454 = 822), folio 10, recto"
20,urn:cite:hmt:msA.10v,verso,"Venetus A (Marciana 454 = 822), folio 10, verso"
21,urn:cite:hmt:msA.11r,recto,"Venetus A (Marciana 454 = 822), folio 11, recto"
22,urn:cite:hmt:msA.11v,verso,"Venetus A (Marciana 454 = 822), folio 11, verso"
23,urn:cite:hmt:msA.12r,recto,"Venetus A (Marciana 454 = 822), folio 12, recto"
24,urn:cite:hmt:msA.12v,verso,"Venetus A (Marciana 454 = 822), folio 12, verso"
25,urn:cite:hmt:msA.13r,recto,"Venetus A (Marciana 454 = 822), folio 13, recto"
26,urn:cite:hmt:msA.13v,verso,"Venetus A (Marciana 454 = 822), folio 13, verso"
27,urn:cite:hmt:msA.14r,recto,"Venetus A (Marciana 454 = 822), folio 14, recto"
