Sequence,PageUrn,RV,Label
-3,urn:cite:hmt:msB.flyleaf1r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), flyleaf 1, recto"
-2,urn:cite:hmt:msB.flyleaf1v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), flyleaf 1, verso"
-1,urn:cite:hmt:msB.flyleaf2r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), flyleaf 2, recto"
0,urn:cite:hmt:msB.flyleaf2v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), flyleaf 2, verso"
1,urn:cite:hmt:msB.1r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 1, recto"
2,urn:cite:hmt:msB.1v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 1, verso"
3,urn:cite:hmt:msB.2r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, recto"
4,urn:cite:hmt:msB.2v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 2, verso"
5,urn:cite:hmt:msB.3r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, recto"
6,urn:cite:hmt:msB.3v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 3, verso"
7,urn:cite:hmt:msB.4r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, recto"
8,urn:cite:hmt:msB.4v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 4, verso"
9,urn:cite:hmt:msB.5r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, recto"
10,urn:cite:hmt:msB.5v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 5, verso"
11,urn:cite:hmt:msB.6r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, recto"
12,urn:cite:hmt:msB.6v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 6, verso"
13,urn:cite:hmt:msB.7r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, recto"
14,urn:cite:hmt:msB.7v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 7, verso"
15,urn:cite:hmt:msB.8r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, recto"
16,urn:cite:hmt:msB.8v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 8, verso"
17,urn:cite:hmt:msB.9r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, recto"
18,urn:cite:hmt:msB.9v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 9, verso"
19,urn:cite:hmt:msB.10r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, recto"
20,urn:cite:hmt:msB.10v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 10, verso"
21,urn:cite:hmt:msB.11r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, recto"
22,urn:cite:hmt:msB.11v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 11, verso"
23,urn:cite:hmt:msB.12r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12, recto"
24,urn:cite:hmt:msB.12v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 12, verso"
25,urn:cite:hmt:msB.13r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, recto"
26,urn:cite:hmt:msB.13v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 13, verso"
27,urn:cite:hmt:msB.14r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, recto"
28,urn:cite:hmt:msB.14v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 14, verso"
29,urn:cite:hmt:msB.15r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, recto"
30,urn:cite:hmt:msB.15v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 15, verso"
31,urn:cite:hmt:msB.16r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, recto"
32,urn:cite:hmt:msB.16v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 16, verso"
33,urn:cite:hmt:msB.17r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 17, recto"
34,urn:cite:hmt:msB.17v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 17, verso"
35,urn:cite:hmt:msB.18r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 18, recto"
36,urn:cite:hmt:msB.18v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 18, verso"
37,urn:cite:hmt:msB.19r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 19, recto"
38,urn:cite:hmt:msB.19v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 19, verso"
39,urn:cite:hmt:msB.20r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 20, recto"
40,urn:cite:hmt:msB.20v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 20, verso"
41,urn:cite:hmt:msB.21r.v1,recto,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 21, recto"
42,urn:cite:hmt:msB.21v.v1,verso,"Venetus B: Marcianus Graecus Z. 453 (= 821), folio 21, verso"
