URN.v1,Caption,Rights
urn:cite:hmt:capimgs.Capitoline_1.v1,"Tabula Capitolina, overview","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_2.v1,"Tabula Capitolina, detail showing top portion of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_3.v1,"Tabula Capitolina, detail showing inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_4.v1,"Tabula Capitolina, detail showing inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_5.v1,"Tabula Capitolina, detail showing bottom of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_6.v1,"Tabula Capitolina, detail showing bottom of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_7.v1,"Tabula Capitolina, detail showing inscriptions at bottom left of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_8.v1,"Tabula Capitolina, detail showing inscriptions at bottom left of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_9.v1,"Tabula Capitolina, right side of reliefs","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_10.v1,"Tabula Capitolina, right side of reliefs","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_11.v1,"Tabula Capitolina, top left edge of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_12.v1,"Tabula Capitolina, top left edge of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_13.v1,"Tabula Capitolina, top left edge of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_14.v1,"Tabula Capitolina, top middle section of relief","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_15.v1,"Tabula Capitolina, overview","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_16.v1,"Tabula Capitolina, upper left part of reliefs","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA)"
urn:cite:hmt:capimgs.Capitoline_17.v1,"Tabula Capitolina, altered overview","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
urn:cite:hmt:capimgs.Capitoline_18.v1,"Tabula Capitolina, altered detail showing top portion of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
urn:cite:hmt:capimgs.Capitoline_19.v1,"Tabula Capitolina, altered detail showing inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
urn:cite:hmt:capimgs.Capitoline_20.v1,"Tabula Capitolina, altered detail showing inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
urn:cite:hmt:capimgs.Capitoline_21.v1,"Tabula Capitolina, altered detail showing bottom of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
urn:cite:hmt:capimgs.Capitoline_22.v1,"Tabula Capitolina, altered detail showing bottom of inscribed stele","Photogaphy by Nikolas Churik. Licensed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike license (CC BY-NC-SA), digitally altered by Drew Virtue"
