Image,Label,Rights
urn:cite:hmt:vgf64img.VGF64_1322.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1323.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1324.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1325.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1326.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1327.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1328.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1329.v1,"Leiden manuscript VGF 64, folio 2r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1330.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1331.v1,"Leiden manuscript VGF 64, folio 3r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1332.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1333.v1,"Leiden manuscript VGF 64, folio 4r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1334.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1335.v1,"Leiden manuscript VGF 64, folio 5r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1336.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1337.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1338.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1339.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1340.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1341.v1,"Leiden manuscript VGF 64, folio 8r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1342.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1343.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1344.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1345.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1346.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1347.v1,"Leiden manuscript VGF 64, folio 11r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1408.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1409.v1,"Leiden manuscript VGF 64, folio 11r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1410.v1,"Leiden manuscript VGF 64, folio 11r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1411.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1412.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1413.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1414.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1415.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1416.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1417.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1418.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1419.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1420.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1421.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1422.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1423.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1424.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1425.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1426.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1427.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1428.v1,"Leiden manuscript VGF 64, folio 16r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1429.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1430.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1431.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1432.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1433.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1434.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1435.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1436.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1437.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1438.v1,"Leiden manuscript VGF 64, folio 20r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1439.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1440.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1441.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1442.v1,"Leiden manuscript VGF 64, folio 22r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1443.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1444.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1445.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1446.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1447.v1,"Leiden manuscript VGF 64, folio 24r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1448.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1449.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1450.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1451.v1,"Leiden manuscript VGF 64, folio 26r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1452.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1453.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1454.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1455.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1456.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1457.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1458.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1459.v1,"Leiden manuscript VGF 64, folio 30r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1460.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1461.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1462.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1463.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1464.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1465.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1466.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1467.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1468.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1469.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1470.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1471.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1472.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1473.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1474.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1475.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1476.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1477.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1478.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1479.v1,"Leiden manuscript VGF 64, folio 40r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1480.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1481.v1,"Leiden manuscript VGF 64, folio 41r","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1482.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1483.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1484.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1485.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1486.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1487.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1488.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1489.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1490.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1491.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1492.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1493.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1494.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1495.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1496.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1497.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1498.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:hmt:vgf64img.VGF64_1499.v1,"Leiden manuscript VGF 64, unidentified page","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
