CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msAext.hmt:11.1,,"urn:cite:hmt:vaimg.VA138RN-0310@0.8156,0.4895,0.0621,0.0195",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAext.hmt:11.2,,"urn:cite:hmt:vaimg.VA138RN-0310@0.8096,0.6414,0.0772,0.0241",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAext.hmt:11.3,,"urn:cite:hmt:vaimg.VA138VN-0640@0.104,0.4887,0.052,0.018",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAext.hmt:11.4,,"urn:cite:hmt:vaimg.VA139RN-0311@0.8577,0.2414,0.0421,0.0173",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAext.hmt:11.5,,"urn:cite:hmt:vaimg.VA139RN-0311@0.8557,0.4075,0.0411,0.0218",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAext.hmt:11.6,,"urn:cite:hmt:vaimg.VA143RN-0315@0.794,0.6849,0.085,0.0398",urn:cite:hmt:msA.143r
urn:cts:greekLit:tlg5026.msAext.hmt:11.7,,"urn:cite:hmt:vaimg.VA143VN-0645@0.15,0.3008,0.024,0.021",urn:cite:hmt:msA.143v
urn:cts:greekLit:tlg5026.msAext.hmt:11.8,,"urn:cite:hmt:vaimg.VA145VN-0647@0.109,0.5536,0.029,0.0173",urn:cite:hmt:msA.145v
urn:cts:greekLit:tlg5026.msAext.hmt:11.9,,"urn:cite:hmt:vaimg.VA145VN-0647@0.108,0.6107,0.049,0.0225",urn:cite:hmt:msA.145v
urn:cts:greekLit:tlg5026.msAext.hmt:11.10,,"urn:cite:hmt:vaimg.VA146RN-0318@0.852,0.4516,0.042,0.0165",urn:cite:hmt:msA.146r
urn:cts:greekLit:tlg5026.msAext.hmt:11.11,,"urn:cite:hmt:vaimg.VA146VN-0648@0.143,0.2933,0.076,0.027",urn:cite:hmt:msA.146v
urn:cts:greekLit:tlg5026.msAext.hmt:11.12,,"urn:cite:hmt:vaimg.VA146VN-0648@0.143,0.3721,0.061,0.0263",urn:cite:hmt:msA.146v
urn:cts:greekLit:tlg5026.msAext.hmt:11.13,,"urn:cite:hmt:vaimg.VA147RN-0319@0.841,0.3413,0.047,0.027",urn:cite:hmt:msA.147r
urn:cts:greekLit:tlg5026.msAext.hmt:11.14,,"urn:cite:hmt:vaimg.VA148RN-0320@0.7946,0.3256,0.0571,0.0263",urn:cite:hmt:msA.148r
urn:cts:greekLit:tlg5026.msAext.hmt:11.15,,"urn:cite:hmt:vaimg.VA151RN-0323@0.808,0.3659,0.051,0.0203",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAext.hmt:11.16,,"urn:cite:hmt:vaimg.VA151VN-0653@0.143,0.6879,0.081,0.0323",urn:cite:hmt:msA.151v
urn:cts:greekLit:tlg5026.msAext.hmt:11.17,,"urn:cite:hmt:vaimg.VA152RN-0324@0.801,0.2018,0.063,0.0203",urn:cite:hmt:msA.152r
urn:cts:greekLit:tlg5026.msAext.hmt:11.18,,"urn:cite:hmt:vaimg.VA153RN-0325@0.794,0.5866,0.072,0.0278",urn:cite:hmt:msA.153r
urn:cts:greekLit:tlg5026.msAext.hmt:11.19,,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.20,,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.21,,"",
urn:cts:greekLit:tlg5026.msAext.hmt:11.22,,"",
urn:cts:greekLit:tlg5026.msAint.hmt:11.1,,"urn:cite:hmt:vaimg.VA137VN-0639@0.7124,0.2338,0.1643,0.0376",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAint.hmt:11.2,,"urn:cite:hmt:vaimg.VA137VN-0639@0.8417,0.509,0.0551,0.0316",urn:cite:hmt:msA.137v
urn:cts:greekLit:tlg5026.msAint.hmt:11.3,,"urn:cite:hmt:vaimg.VA138RN-0310@0.1052,0.2602,0.0711,0.0218",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.4,,"urn:cite:hmt:vaimg.VA138RN-0310@0.0902,0.3286,0.0691,0.0556",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.5,,"urn:cite:hmt:vaimg.VA138RN-0310@0.0842,0.4526,0.0752,0.0323",urn:cite:hmt:msA.138r
urn:cts:greekLit:tlg5026.msAint.hmt:11.6,,"urn:cite:hmt:vaimg.VA138VN-0640@0.887,0.3176,0.034,0.0248",urn:cite:hmt:msA.138v
urn:cts:greekLit:tlg5026.msAint.hmt:11.7,,"urn:cite:hmt:vaimg.VA139RN-0311@0.1242,0.2188,0.0551,0.0263",urn:cite:hmt:msA.139r
urn:cts:greekLit:tlg5026.msAint.hmt:11.8,,"urn:cite:hmt:vaimg.VA140RN-0312@0.0962,0.3782,0.0681,0.0248",urn:cite:hmt:msA.140r
urn:cts:greekLit:tlg5026.msAint.hmt:11.9,,"urn:cite:hmt:vaimg.VA142RN-0314@0.101,0.2296,0.067,0.0315",urn:cite:hmt:msA.142r
urn:cts:greekLit:tlg5026.msAint.hmt:11.10,,"urn:cite:hmt:vaimg.VA142VN-0644@0.86,0.3413,0.053,0.0255",urn:cite:hmt:msA.142v
