Text,Comment,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:14.B1,"First main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24392041,0.13997234,0.68920413,0.04024896",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B2,"Second main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24778924,0.16625173,0.67815033,0.04730290",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B3,"Third main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24392041,0.20069156,0.67538688,0.02116183",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B4,"Fourth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24060427,0.22351314,0.20670597,0.02282158",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B5,"Fifth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24392041,0.24426003,0.20504790,0.04813278",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B6,"Sixth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24649963,0.28976487,0.21554901,0.03789765",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B7,"Seventh main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24318349,0.31438451,0.22623434,0.05864454",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B8,"Eighth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.37288136,0.35919779,0.09506264,0.01300138",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B9,"Ninth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.23286662,0.37164592,0.23876197,0.05809129",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B10,"Tenth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24318349,0.42946058,0.21075903,0.02461964",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B11,"Eleventh main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24465733,0.44163209,0.22218128,0.10235131",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B12,"Twelfth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.23544584,0.54287690,0.24576271,0.08132780",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B13,"Thirteenth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24649963,0.62337483,0.22107590,0.03762102",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B14,"Fourteenth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.24170965,0.65712310,0.22365512,0.06943292",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B15,"Fifteenth main scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.25423729,0.72448133,0.69307296,0.03195021",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msA.hmt:14.B16,"First main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.16414886,0.10954357,0.61090641,0.07192254",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B17,"Second main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.56834930,0.39626556,0.20670597,0.05311203",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B18,"Third main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.56355932,0.44688797,0.20670597,0.07275242",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B19,"Fourth main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.56098010,0.50525588,0.21518055,0.04619640",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B20,"Fifth main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.55619013,0.55117566,0.21407517,0.12641770",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B21,"Sixth main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.14314665,0.67441217,0.63080324,0.06860304",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B22,"Seventh main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.14959469,0.72282158,0.61827561,0.05034578",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B23,"Eighth main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.15401621,0.75435685,0.61016949,0.05089903",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.B24,"Ninth main Scholion of 181r","urn:cite:hmt:vaimg.VA181RN_0182@0.14959469,0.79917012,0.52910833,0.01715076",urn:cite:hmt:msA.181r
urn:cts:greekLit:tlg5026.msA.hmt:14.E1,"First main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.23212970,0.36293223,0.20486367,0.08243430",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E2,"Second main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.25313191,0.43042877,0.18901990,0.05449516",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E3,"Third main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.23949889,0.46694329,0.20265291,0.03236515",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E4,"Fourth main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.26492262,0.49709544,0.17354458,0.03983402",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E5,"Fifth main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.25497421,0.52807746,0.20081061,0.04370678",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E6,"Sixth main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.25460575,0.56874136,0.20117907,0.02710927",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E7,"Seventh main scholion of 181v, Iliad 14","urn:cite:hmt:vaimg.VA181VN_0683@0.25423729,0.59363762,0.20302137,0.09681881",urn:cite:hmt:msA.181v
urn:cts:greekLit:tlg5026.msA.hmt:14.E8,"First main scholion of 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.17133382,0.11203320,0.59358880,0.02157676",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msA.hmt:14.E9,"Second main scholion of 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.16967576,0.12987552,0.61790715,0.06307054",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msA.hmt:14.E10,"Third main scholion of 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.60187915,0.37690180,0.17980840,0.16071923",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msA.hmt:14.E11,"Fourth main scholion of 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.57166544,0.54177040,0.20228445,0.09654219",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msA.hmt:14.E12,"Fifth main scholion of 182r, Iliad 14","urn:cite:hmt:vaimg.VA182RN_0183@0.59893147,0.64107884,0.18312454,0.08852006",urn:cite:hmt:msA.182r
urn:cts:greekLit:tlg5026.msA.hmt:14.E13,"First main scholion of 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.23489315,0.38354080,0.21518055,0.11037344",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msA.hmt:14.E14,"Second main scholion of 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.23489315,0.48201936,0.20265291,0.07634855",urn:cite:hmt:msA.182v
urn:cts:greekLit:tlg5026.msA.hmt:14.E15,"Third main scholion of 182v, Iliad 14","urn:cite:hmt:vaimg.VA182VN_0684@0.24005158,0.54038728,0.21186441,0.05919779",urn:cite:hmt:msA.182v
