Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office4_1,"urn:cite:hmt:vaimg.VA252RN-0423@0.126,0.1998,0.071,0.0699",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office4_2,"urn:cite:hmt:vaimg.VA252RN-0423@0.1171,0.494,0.077,0.0257",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office4_3,"urn:cite:hmt:vaimg.VA252RN-0423@0.1265,0.5173,0.0614,0.0412",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.89,0.5409,0.041,0.0586",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_1,"urn:cite:hmt:vaimg.VA253RN-0424@0.143,0.2757,0.068,0.0263",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_2,"urn:cite:hmt:vaimg.VA253RN-0424@0.119,0.299,0.09,0.0263",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_3,"urn:cite:hmt:vaimg.VA253RN-0424@0.138,0.3727,0.079,0.0135",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_4,"urn:cite:hmt:vaimg.VA253RN-0424@0.144,0.4027,0.066,0.0338",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_5,"urn:cite:hmt:vaimg.VA253RN-0424@0.134,0.5252,0.077,0.0218",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_6,"urn:cite:hmt:vaimg.VA253RN-0424@0.156,0.5687,0.046,0.0421",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office9_7,"urn:cite:hmt:vaimg.VA253RN-0424@0.123,0.6702,0.078,0.0488",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.856,0.26,0.034,0.0098",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.858,0.3156,0.054,0.0406",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.855,0.5237,0.055,0.0135",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAint.hmt:19.2015office10_4,"urn:cite:hmt:vaimg.VA253VN-0755@0.875,0.6619,0.047,0.0451",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAint.hmt:19.hc_1,"urn:cite:hmt:vaimg.VA259RN-0430@0.134,0.3779,0.051,0.027",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAint.hmt:19.hc_2,"urn:cite:hmt:vaimg.VA259RN-0430@0.129,0.4035,0.09,0.0293",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAint.hmt:19.hc_3,"urn:cite:hmt:vaimg.VA259RN-0430@0.114,0.45,0.056,0.0263",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAint.hmt:19.hc_4,"urn:cite:hmt:vaimg.VA259RN-0430@0.11,0.4703,0.063,0.0473",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAint.hmt:19.hc_5,"urn:cite:hmt:vaimg.VA259RN-0430@0.11,0.5071,0.072,0.0436",urn:cite:hmt:msA.259r
