Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_1,"urn:cite:hmt:vaimg.VA251VN-0753@0.4415,0.3684,0.0568,0.0102",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_2,"urn:cite:hmt:vaimg.VA251VN-0753@0.4419,0.4117,0.0562,0.0437",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office3_3,"urn:cite:hmt:vaimg.VA251VN-0753@0.4331,0.5323,0.0649,0.0648",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_1,"urn:cite:hmt:vaimg.VA252RN-0423@0.581,0.2307,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_2,"urn:cite:hmt:vaimg.VA252RN-0423@0.569,0.287,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office4_3,"urn:cite:hmt:vaimg.VA252RN-0423@0.572,0.4823,0.041,0.0331",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.436,0.5379,0.055,0.0458",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_2,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.592,0.067,0.0376",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_3,"urn:cite:hmt:vaimg.VA252VN-0754@0.427,0.6499,0.067,0.0376",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office5_4,"urn:cite:hmt:vaimg.VA252VN-0754@0.428,0.6844,0.15,0.0458",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.421,0.3133,0.055,0.0383",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.427,0.3591,0.047,0.009",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.43,0.3681,0.043,0.0406",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAim.hmt:19.2015office10_4,"urn:cite:hmt:vaimg.VA253VN-0755@0.431,0.5838,0.048,0.0353",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_1,"urn:cite:hmt:vaimg.VA258RN-0429@0.576,0.284,0.064,0.0308",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_2,"urn:cite:hmt:vaimg.VA258RN-0429@0.607,0.3268,0.082,0.0353",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_3,"urn:cite:hmt:vaimg.VA258VN-0760@0.427,0.2915,0.061,0.0346",urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_4,"urn:cite:hmt:vaimg.VA258VN-0760@0.41,0.6762,0.081,0.0338",urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_5,"urn:cite:hmt:vaimg.VA259RN-0430@0.584,0.3388,0.049,0.0526",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_6,"urn:cite:hmt:vaimg.VA259RN-0430@0.575,0.4808,0.069,0.0398",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_7,"urn:cite:hmt:vaimg.VA259VN-0761@0.423,0.2126,0.056,0.0376",urn:cite:hmt:msA.259v
urn:cts:greekLit:tlg5026.msAim.hmt:19.hc_8,"urn:cite:hmt:vaimg.VA259VN-0761@0.41,0.2404,0.071,0.0436",urn:cite:hmt:msA.259v
