Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_1,"urn:cite:hmt:vaimg.VA251VN-0753@0.2294,0.2199,0.2101,0.0886",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_2,"urn:cite:hmt:vaimg.VA251VN-0753@0.2305,0.3067,0.2129,0.0837",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_3,"urn:cite:hmt:vaimg.VA251VN-0753@0.2285,0.3879,0.2164,0.0365",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_4,"urn:cite:hmt:vaimg.VA251VN-0753@0.2204,0.4192,0.2237,0.0501",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_5,"urn:cite:hmt:vaimg.VA251VN-0753@0.2283,0.4639,0.2263,0.028",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office3_6,"urn:cite:hmt:vaimg.VA251VN-0753@0.2257,0.4891,0.2197,0.0392",urn:cite:hmt:msA.251v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_1,"urn:cite:hmt:vaimg.VA252RN-0423@0.61,0.2119,0.2,0.1893",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_2,"urn:cite:hmt:vaimg.VA252RN-0423@0.598,0.3922,0.211,0.0706",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_3,"urn:cite:hmt:vaimg.VA252RN-0423@0.606,0.4606,0.204,0.0541",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_4,"urn:cite:hmt:vaimg.VA252RN-0423@0.6062,0.5111,0.2151,0.1006",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_5,"urn:cite:hmt:vaimg.VA252RN-0423@0.6104,0.6088,0.1946,0.0511",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office4_6,"urn:cite:hmt:vaimg.VA252RN-0423@0.17,0.7107,0.641,0.0631",urn:cite:hmt:msA.252r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_1,"urn:cite:hmt:vaimg.VA252VN-0754@0.2326,0.1183,0.6619,0.023",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_2,"urn:cite:hmt:vaimg.VA252VN-0754@0.227,0.1331,0.675,0.0444",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_3,"urn:cite:hmt:vaimg.VA252VN-0754@0.2266,0.4532,0.2154,0.0533",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_4,"urn:cite:hmt:vaimg.VA252VN-0754@0.2303,0.505,0.2075,0.0393",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_5,"urn:cite:hmt:vaimg.VA252VN-0754@0.2375,0.5411,0.1997,0.0565",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office5_6,"urn:cite:hmt:vaimg.VA252VN-0754@0.236,0.5944,0.1905,0.0628",urn:cite:hmt:msA.252v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_1,"urn:cite:hmt:vaimg.VA253RN-0424@0.197,0.0977,0.654,0.0496",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_2,"urn:cite:hmt:vaimg.VA253RN-0424@0.21,0.13,0.647,0.0406",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_3,"urn:cite:hmt:vaimg.VA253RN-0424@0.206,0.1518,0.651,0.0563",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_4,"urn:cite:hmt:vaimg.VA253RN-0424@0.495,0.1961,0.359,0.0729",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_5,"urn:cite:hmt:vaimg.VA253RN-0424@0.63,0.272,0.212,0.0661",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_6,"urn:cite:hmt:vaimg.VA253RN-0424@0.629,0.3321,0.218,0.0376",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_7,"urn:cite:hmt:vaimg.VA253RN-0424@0.631,0.3539,0.22,0.0781",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_8,"urn:cite:hmt:vaimg.VA253RN-0424@0.624,0.4237,0.214,0.1668",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_9,"urn:cite:hmt:vaimg.VA253RN-0424@0.625,0.586,0.199,0.0841",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_10,"urn:cite:hmt:vaimg.VA253RN-0424@0.19,0.6551,0.64,0.0872",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_11,"urn:cite:hmt:vaimg.VA253RN-0424@0.187,0.7258,0.64,0.0293",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_12,"urn:cite:hmt:vaimg.VA253RN-0424@0.193,0.7393,0.628,0.027",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_13,"urn:cite:hmt:vaimg.VA253RN-0424@0.26,0.7491,0.435,0.0263",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office9_14,"urn:cite:hmt:vaimg.VA253RN-0424@0.185,0.7611,0.634,0.0541",urn:cite:hmt:msA.253r
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_1,"urn:cite:hmt:vaimg.VA253VN-0755@0.207,0.1165,0.71,0.0443",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_2,"urn:cite:hmt:vaimg.VA253VN-0755@0.201,0.1352,0.71,0.0834",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_3,"urn:cite:hmt:vaimg.VA253VN-0755@0.218,0.4921,0.215,0.0285",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_4,"urn:cite:hmt:vaimg.VA253VN-0755@0.21,0.5184,0.221,0.0361",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_5,"urn:cite:hmt:vaimg.VA253VN-0755@0.204,0.55,0.23,0.0556",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_6,"urn:cite:hmt:vaimg.VA253VN-0755@0.203,0.5988,0.23,0.0646",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_7,"urn:cite:hmt:vaimg.VA253VN-0755@0.212,0.6566,0.701,0.1202",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_8,"urn:cite:hmt:vaimg.VA253VN-0755@0.216,0.7461,0.701,0.0428",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_9,"urn:cite:hmt:vaimg.VA253VN-0755@0.217,0.7588,0.701,0.0428",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.2015office10_10,"urn:cite:hmt:vaimg.VA253VN-0755@0.219,0.7686,0.701,0.0526",urn:cite:hmt:msA.253v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_1,"urn:cite:hmt:vaimg.VA258RN-0429@0.205,0.0909,0.627,0.0624",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_2,"urn:cite:hmt:vaimg.VA258RN-0429@0.615,0.3681,0.212,0.0879",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_3,"urn:cite:hmt:vaimg.VA258RN-0429@0.615,0.4448,0.215,0.0331",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_4,"urn:cite:hmt:vaimg.VA258RN-0429@0.628,0.4658,0.195,0.0548",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_5,"urn:cite:hmt:vaimg.VA258RN-0429@0.182,0.6965,0.621,0.0571",urn:cite:hmt:msA.258r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_6,"urn:cite:hmt:vaimg.VA258VN-0760@0.226,0.3584,0.213,0.0473",urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_7,"urn:cite:hmt:vaimg.VA258VN-0760@0.23,0.3959,0.213,0.0706",urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_8,"urn:cite:hmt:vaimg.VA258VN-0760@0.227,0.453,0.221,0.1653",urn:cite:hmt:msA.258v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_9,"urn:cite:hmt:vaimg.VA259RN-0430@0.626,0.2186,0.189,0.0496",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_10,"urn:cite:hmt:vaimg.VA259RN-0430@0.618,0.2569,0.214,0.0496",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_11,"urn:cite:hmt:vaimg.VA259RN-0430@0.625,0.2968,0.204,0.2104",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_12,"urn:cite:hmt:vaimg.VA259RN-0430@0.624,0.5026,0.2,0.1322",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_13,"urn:cite:hmt:vaimg.VA259RN-0430@0.629,0.6221,0.181,0.0691",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_14,"urn:cite:hmt:vaimg.VA259RN-0430@0.188,0.6814,0.626,0.0601",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_15,"urn:cite:hmt:vaimg.VA259RN-0430@0.188,0.7168,0.626,0.0503",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_16,"urn:cite:hmt:vaimg.VA259RN-0430@0.189,0.7551,0.612,0.0421",urn:cite:hmt:msA.259r
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_17,"urn:cite:hmt:vaimg.VA259VN-0761@0.236,0.1007,0.427,0.0323",urn:cite:hmt:msA.259v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_18,"urn:cite:hmt:vaimg.VA259VN-0761@0.233,0.1112,0.697,0.0466",urn:cite:hmt:msA.259v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_19,"urn:cite:hmt:vaimg.VA259VN-0761@0.232,0.133,0.692,0.0421",urn:cite:hmt:msA.259v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_20,"urn:cite:hmt:vaimg.VA259VN-0761@0.234,0.4816,0.217,0.0969",urn:cite:hmt:msA.259v
urn:cts:greekLit:tlg5026.msA.hmt:19.hc_21,"urn:cite:hmt:vaimg.VA259VN-0761@0.224,0.5672,0.227,0.1119",urn:cite:hmt:msA.259v
