Sequence	Passage	Sign
2	urn:cts:greekLit:tlg0012.tlg001.msA:1.2	>
3	urn:cts:greekLit:tlg0012.tlg001.msA:1.3	>
4	urn:cts:greekLit:tlg0012.tlg001.msA:1.5	⸖
5	urn:cts:greekLit:tlg0012.tlg001.msA:1.7	⸖
6	urn:cts:greekLit:tlg0012.tlg001.msA:1.12	※
7	urn:cts:greekLit:tlg0012.tlg001.msA:1.13	※
8	urn:cts:greekLit:tlg0012.tlg001.msA:1.14	※
9	urn:cts:greekLit:tlg0012.tlg001.msA:1.15	※
10	urn:cts:greekLit:tlg0012.tlg001.msA:1.16	⸖
11	urn:cts:greekLit:tlg0012.tlg001.msA:1.17	>
12	urn:cts:greekLit:tlg0012.tlg001.msA:1.26	>
13	urn:cts:greekLit:tlg0012.tlg001.msA:1.29	—
14	urn:cts:greekLit:tlg0012.tlg001.msA:1.30	—
15	urn:cts:greekLit:tlg0012.tlg001.msA:1.31	—
16	urn:cts:greekLit:tlg0012.tlg001.msA:1.42	⸖
17	urn:cts:greekLit:tlg0012.tlg001.msA:1.51	>
18	urn:cts:greekLit:tlg0012.tlg001.msA:1.52	>
19	urn:cts:greekLit:tlg0012.tlg001.msA:1.56	⸖
20	urn:cts:greekLit:tlg0012.tlg001.msA:1.58	⸖
21	urn:cts:greekLit:tlg0012.tlg001.msA:1.59	⸖
22	urn:cts:greekLit:tlg0012.tlg001.msA:1.60	⸖
23	urn:cts:greekLit:tlg0012.tlg001.msA:1.62	>
24	urn:cts:greekLit:tlg0012.tlg001.msA:1.65	⸖
25	urn:cts:greekLit:tlg0012.tlg001.msA:1.68	>
26	urn:cts:greekLit:tlg0012.tlg001.msA:1.69	⸖
27	urn:cts:greekLit:tlg0012.tlg001.msA:1.73	⸖
28	urn:cts:greekLit:tlg0012.tlg001.msA:1.80	⸖
29	urn:cts:greekLit:tlg0012.tlg001.msA:1.93	⸖
30	urn:cts:greekLit:tlg0012.tlg001.msA:1.96	—
31	urn:cts:greekLit:tlg0012.tlg001.msA:1.100	⸖
32	urn:cts:greekLit:tlg0012.tlg001.msA:1.103	※
33	urn:cts:greekLit:tlg0012.tlg001.msA:1.104	※
34	urn:cts:greekLit:tlg0012.tlg001.msA:1.110	—
35	urn:cts:greekLit:tlg0012.tlg001.msA:1.133	—
36	urn:cts:greekLit:tlg0012.tlg001.msA:1.139	—
37	urn:cts:greekLit:tlg0012.tlg001.msA:1.148	⸖
38	urn:cts:greekLit:tlg0012.tlg001.msA:1.175	>
39	urn:cts:greekLit:tlg0012.tlg001.msA:1.177	※
40	urn:cts:greekLit:tlg0012.tlg001.msA:1.184	⸖
41	urn:cts:greekLit:tlg0012.tlg001.msA:1.189	>
42	urn:cts:greekLit:tlg0012.tlg001.msA:1.192	—
43	urn:cts:greekLit:tlg0012.tlg001.msA:1.194	⸖
44	urn:cts:greekLit:tlg0012.tlg001.msA:1.195	—
45	urn:cts:greekLit:tlg0012.tlg001.msA:1.196	—
46	urn:cts:greekLit:tlg0012.tlg001.msA:1.196	※
47	urn:cts:greekLit:tlg0012.tlg001.msA:1.198	⸖
48	urn:cts:greekLit:tlg0012.tlg001.msA:1.200	>
49	urn:cts:greekLit:tlg0012.tlg001.msA:1.203	⸖
50	urn:cts:greekLit:tlg0012.tlg001.msA:1.204	⸖
51	urn:cts:greekLit:tlg0012.tlg001.msA:1.208	※
52	urn:cts:greekLit:tlg0012.tlg001.msA:1.208	⸖
53	urn:cts:greekLit:tlg0012.tlg001.msA:1.209	※
54	urn:cts:greekLit:tlg0012.tlg001.msA:1.209	⸖
55	urn:cts:greekLit:tlg0012.tlg001.msA:1.249	⸖
56	urn:cts:greekLit:tlg0012.tlg001.msA:1.251	⸖
57	urn:cts:greekLit:tlg0012.tlg001.msA:1.260	⸖
58	urn:cts:greekLit:tlg0012.tlg001.msA:1.262	⸖
59	urn:cts:greekLit:tlg0012.tlg001.msA:1.270	⸖
60	urn:cts:greekLit:tlg0012.tlg001.msA:1.271	⸖
61	urn:cts:greekLit:tlg0012.tlg001.msA:1.272	>
62	urn:cts:greekLit:tlg0012.tlg001.msA:1.275	>
63	urn:cts:greekLit:tlg0012.tlg001.msA:1.291	>
64	urn:cts:greekLit:tlg0012.tlg001.msA:1.295	>
65	urn:cts:greekLit:tlg0012.tlg001.msA:1.299	⸖
66	urn:cts:greekLit:tlg0012.tlg001.msA:1.305	⸖
67	urn:cts:greekLit:tlg0012.tlg001.msA:1.307	⸖
68	urn:cts:greekLit:tlg0012.tlg001.msA:1.310	⸖
69	urn:cts:greekLit:tlg0012.tlg001.msA:1.320	⸖
70	urn:cts:greekLit:tlg0012.tlg001.msA:1.330	⸖
71	urn:cts:greekLit:tlg0012.tlg001.msA:1.336	⸖
72	urn:cts:greekLit:tlg0012.tlg001.msA:1.338	>
73	urn:cts:greekLit:tlg0012.tlg001.msA:1.340	>
74	urn:cts:greekLit:tlg0012.tlg001.msA:1.351	⸖
75	urn:cts:greekLit:tlg0012.tlg001.msA:1.364	>
76	urn:cts:greekLit:tlg0012.tlg001.msA:1.365	>
77	urn:cts:greekLit:tlg0012.tlg001.msA:1.366	—
78	urn:cts:greekLit:tlg0012.tlg001.msA:1.367	—
79	urn:cts:greekLit:tlg0012.tlg001.msA:1.368	—
80	urn:cts:greekLit:tlg0012.tlg001.msA:1.369	—
81	urn:cts:greekLit:tlg0012.tlg001.msA:1.370	—
82	urn:cts:greekLit:tlg0012.tlg001.msA:1.371	—
83	urn:cts:greekLit:tlg0012.tlg001.msA:1.372	—
84	urn:cts:greekLit:tlg0012.tlg001.msA:1.372	※
85	urn:cts:greekLit:tlg0012.tlg001.msA:1.373	—
86	urn:cts:greekLit:tlg0012.tlg001.msA:1.373	※
87	urn:cts:greekLit:tlg0012.tlg001.msA:1.374	—
88	urn:cts:greekLit:tlg0012.tlg001.msA:1.374	※
89	urn:cts:greekLit:tlg0012.tlg001.msA:1.375	—
90	urn:cts:greekLit:tlg0012.tlg001.msA:1.375	※
91	urn:cts:greekLit:tlg0012.tlg001.msA:1.376	—
92	urn:cts:greekLit:tlg0012.tlg001.msA:1.376	※
93	urn:cts:greekLit:tlg0012.tlg001.msA:1.377	—
94	urn:cts:greekLit:tlg0012.tlg001.msA:1.377	※
95	urn:cts:greekLit:tlg0012.tlg001.msA:1.378	—
96	urn:cts:greekLit:tlg0012.tlg001.msA:1.378	※
97	urn:cts:greekLit:tlg0012.tlg001.msA:1.379	—
98	urn:cts:greekLit:tlg0012.tlg001.msA:1.379	※
99	urn:cts:greekLit:tlg0012.tlg001.msA:1.380	—
100	urn:cts:greekLit:tlg0012.tlg001.msA:1.381	—
101	urn:cts:greekLit:tlg0012.tlg001.msA:1.382	—
102	urn:cts:greekLit:tlg0012.tlg001.msA:1.383	—
103	urn:cts:greekLit:tlg0012.tlg001.msA:1.384	—
104	urn:cts:greekLit:tlg0012.tlg001.msA:1.385	—
105	urn:cts:greekLit:tlg0012.tlg001.msA:1.386	—
106	urn:cts:greekLit:tlg0012.tlg001.msA:1.387	—
107	urn:cts:greekLit:tlg0012.tlg001.msA:1.388	—
108	urn:cts:greekLit:tlg0012.tlg001.msA:1.389	—
109	urn:cts:greekLit:tlg0012.tlg001.msA:1.390	—
110	urn:cts:greekLit:tlg0012.tlg001.msA:1.391	—
111	urn:cts:greekLit:tlg0012.tlg001.msA:1.392	—
112	urn:cts:greekLit:tlg0012.tlg001.msA:1.393	⸖
113	urn:cts:greekLit:tlg0012.tlg001.msA:1.402	>
114	urn:cts:greekLit:tlg0012.tlg001.msA:1.403	※
115	urn:cts:greekLit:tlg0012.tlg001.msA:1.404	※
116	urn:cts:greekLit:tlg0012.tlg001.msA:1.405	※
117	urn:cts:greekLit:tlg0012.tlg001.msA:1.412	>
118	urn:cts:greekLit:tlg0012.tlg001.msA:1.424	—
119	urn:cts:greekLit:tlg0012.tlg001.msA:1.425	>
120	urn:cts:greekLit:tlg0012.tlg001.msA:1.429	>
121	urn:cts:greekLit:tlg0012.tlg001.msA:1.443	>
122	urn:cts:greekLit:tlg0012.tlg001.msA:1.444	—
123	urn:cts:greekLit:tlg0012.tlg001.msA:1.454	>
124	urn:cts:greekLit:tlg0012.tlg001.msA:1.459	>
125	urn:cts:greekLit:tlg0012.tlg001.msA:1.461	>
126	urn:cts:greekLit:tlg0012.tlg001.msA:1.467	>
127	urn:cts:greekLit:tlg0012.tlg001.msA:1.472	>
128	urn:cts:greekLit:tlg0012.tlg001.msA:1.473	>
129	urn:cts:greekLit:tlg0012.tlg001.msA:1.474	—
130	urn:cts:greekLit:tlg0012.tlg001.msA:1.477	>
131	urn:cts:greekLit:tlg0012.tlg001.msA:1.493	>
132	urn:cts:greekLit:tlg0012.tlg001.msA:1.497	>
133	urn:cts:greekLit:tlg0012.tlg001.msA:1.526	>
134	urn:cts:greekLit:tlg0012.tlg001.msA:1.530	⸖
135	urn:cts:greekLit:tlg0012.tlg001.msA:1.564	⸖
136	urn:cts:greekLit:tlg0012.tlg001.msA:1.567	⸖
137	urn:cts:greekLit:tlg0012.tlg001.msA:1.572	⸖
138	urn:cts:greekLit:tlg0012.tlg001.msA:1.578	>
139	urn:cts:greekLit:tlg0012.tlg001.msA:2.2	>
140	urn:cts:greekLit:tlg0012.tlg001.msA:2.6	>
141	urn:cts:greekLit:tlg0012.tlg001.msA:2.8	>
142	urn:cts:greekLit:tlg0012.tlg001.msA:2.10	>
143	urn:cts:greekLit:tlg0012.tlg001.msA:2.27	※
144	urn:cts:greekLit:tlg0012.tlg001.msA:2.27	—
145	urn:cts:greekLit:tlg0012.tlg001.msA:2.36	>
146	urn:cts:greekLit:tlg0012.tlg001.msA:2.41	>
147	urn:cts:greekLit:tlg0012.tlg001.msA:2.45	>
148	urn:cts:greekLit:tlg0012.tlg001.msA:2.49	>
149	urn:cts:greekLit:tlg0012.tlg001.msA:2.55	>
150	urn:cts:greekLit:tlg0012.tlg001.msA:2.56	※
151	urn:cts:greekLit:tlg0012.tlg001.msA:2.64	※
152	urn:cts:greekLit:tlg0012.tlg001.msA:2.64	—
153	urn:cts:greekLit:tlg0012.tlg001.msA:2.70	>
154	urn:cts:greekLit:tlg0012.tlg001.msA:2.76	—
155	urn:cts:greekLit:tlg0012.tlg001.msA:2.77	—
156	urn:cts:greekLit:tlg0012.tlg001.msA:2.78	—
157	urn:cts:greekLit:tlg0012.tlg001.msA:2.79	—
158	urn:cts:greekLit:tlg0012.tlg001.msA:2.80	—
159	urn:cts:greekLit:tlg0012.tlg001.msA:2.81	—
160	urn:cts:greekLit:tlg0012.tlg001.msA:2.82	—
161	urn:cts:greekLit:tlg0012.tlg001.msA:2.87	※
162	urn:cts:greekLit:tlg0012.tlg001.msA:2.89	⸖
163	urn:cts:greekLit:tlg0012.tlg001.msA:2.93	⸖
164	urn:cts:greekLit:tlg0012.tlg001.msA:2.106	>
165	urn:cts:greekLit:tlg0012.tlg001.msA:2.107	>
166	urn:cts:greekLit:tlg0012.tlg001.msA:2.108	>
167	urn:cts:greekLit:tlg0012.tlg001.msA:2.109	>
168	urn:cts:greekLit:tlg0012.tlg001.msA:2.110	⸖
169	urn:cts:greekLit:tlg0012.tlg001.msA:2.111	⸖
170	urn:cts:greekLit:tlg0012.tlg001.msA:2.115	⸖
171	urn:cts:greekLit:tlg0012.tlg001.msA:2.116	※
172	urn:cts:greekLit:tlg0012.tlg001.msA:2.116	⸖
173	urn:cts:greekLit:tlg0012.tlg001.msA:2.119	⸖
174	urn:cts:greekLit:tlg0012.tlg001.msA:2.122	⸖
175	urn:cts:greekLit:tlg0012.tlg001.msA:2.124	—
176	urn:cts:greekLit:tlg0012.tlg001.msA:2.125	>
177	urn:cts:greekLit:tlg0012.tlg001.msA:2.130	—
178	urn:cts:greekLit:tlg0012.tlg001.msA:2.131	—
179	urn:cts:greekLit:tlg0012.tlg001.msA:2.132	—
180	urn:cts:greekLit:tlg0012.tlg001.msA:2.133	—
181	urn:cts:greekLit:tlg0012.tlg001.msA:2.143	—
182	urn:cts:greekLit:tlg0012.tlg001.msA:2.144	⸖
183	urn:cts:greekLit:tlg0012.tlg001.msA:2.148	>
184	urn:cts:greekLit:tlg0012.tlg001.msA:2.160	※
185	urn:cts:greekLit:tlg0012.tlg001.msA:2.160	—
186	urn:cts:greekLit:tlg0012.tlg001.msA:2.161	>
187	urn:cts:greekLit:tlg0012.tlg001.msA:2.161	※
188	urn:cts:greekLit:tlg0012.tlg001.msA:2.161	—
189	urn:cts:greekLit:tlg0012.tlg001.msA:2.162	※
190	urn:cts:greekLit:tlg0012.tlg001.msA:2.162	—
191	urn:cts:greekLit:tlg0012.tlg001.msA:2.164	※
192	urn:cts:greekLit:tlg0012.tlg001.msA:2.164	—
193	urn:cts:greekLit:tlg0012.tlg001.msA:2.167	>
