PageZone.v1,"ImageRoI"
urn:cite:hmt:pageroi.1.v1,"urn:cite:hmt:vaimg.VA012RN_0013.v1@0.0417,0.0813,0.845,0.8813"
urn:cite:hmt:pageroi.2.v1,"urn:cite:hmt:vaimg.VA012VN_0514.v1@0.1167,0.0801,0.815,0.8561"
urn:cite:hmt:pageroi.3.v1,"urn:cite:hmt:vaimg.VA013RN_0014.v1@0.0675,0.0892,0.795,0.8638"
urn:cite:hmt:pageroi.4.v1,"urn:cite:hmt:vaimg.VA013VN_0515.v1@0.1063,0.0798,0.8113,0.8423"
urn:cite:hmt:pageroi.5.v1,"urn:cite:hmt:vaimg.VA014RN_0015.v1@0.0688,0.0883,0.8025,0.8732"
urn:cite:hmt:pageroi.6.v1,"urn:cite:hmt:vaimg.VA014VN_0516.v1@0.1013,0.0816,0.8163,0.8583"
urn:cite:hmt:pageroi.24.v1,"urn:cite:hmt:vaimg.VA023RN_0024.v1@0.0725,0.0573,0.815,0.8657"
urn:cite:hmt:pageroi.41.v1,"urn:cite:hmt:vaimg.VA097VN_0600.v1@0.0763,0.0723,0.8425,0.8592"
urn:cite:hmt:pageroi.50.v1,"urn:cite:hmt:vaimg.VA024VN_0526.v1@0.13,0.0761,0.8075,0.8554"
urn:cite:hmt:pageroi.7.v1,"urn:cite:hmt:vaimg.VA015RN_0016.v1@0.0712,0.0883,0.81,0.8667"
urn:cite:hmt:pageroi.10.v1,"urn:cite:hmt:vaimg.VA016VN_0518.v1@0.1013,0.0742,0.815,0.8563"
urn:cite:hmt:pageroi.12.v1,"urn:cite:hmt:vaimg.VA017VN_0519.v1@0.085,0.0826,0.8388,0.8545"
urn:cite:hmt:pageroi.19.v1,"urn:cite:hmt:vaimg.VA020VN_0522.v1@0.1363,0.0742,0.8138,0.861"
urn:cite:hmt:pageroi.31.v1,"urn:cite:hmt:vaimg.VA093RN_0094.v1@0.05,0.0695,0.8363,0.8704"
urn:cite:hmt:pageroi.49.v1,"urn:cite:hmt:vaimg.VA025RN_0026.v1@0.0625,0.0563,0.8188,0.8657"
urn:cite:hmt:pageroi.8.v1,"urn:cite:hmt:vaimg.VA015VN_0517.v1@0.1113,0.0732,0.805,0.8554"
urn:cite:hmt:pageroi.23.v1,"urn:cite:hmt:vaimg.VA022VN_0524.v1@0.1175,0.0751,0.8213,0.8582"
urn:cite:hmt:pageroi.30.v1,"urn:cite:hmt:vaimg.VA092VN_0595.v1@0.07,0.0761,0.8438,0.8563"
urn:cite:hmt:pageroi.36.v1,"urn:cite:hmt:vaimg.VA095VN_0598.v1@0.0938,0.0714,0.8138,0.862"
urn:cite:hmt:pageroi.39.v1,"urn:cite:hmt:vaimg.VA096VN_0599.v1@0.0838,0.0732,0.8263,0.8629"
urn:cite:hmt:pageroi.43.v1,"urn:cite:hmt:vaimg.VA098VN_0601.v1@0.0888,0.0723,0.8313,0.8545"
urn:cite:hmt:pageroi.48.v1,"urn:cite:hmt:vaimg.VA026RN_0027.v1@0.0638,0.0563,0.8213,0.8676"
urn:cite:hmt:pageroi.9.v1,"urn:cite:hmt:vaimg.VA016RN_0017.v1@0.0775,0.0592,0.7988,0.8592"
urn:cite:hmt:pageroi.11.v1,"urn:cite:hmt:vaimg.VA017RN_0018.v1@0.0613,0.0554,0.8288,0.8545"
urn:cite:hmt:pageroi.29.v1,"urn:cite:hmt:vaimg.VA092RN_0093.v1@0.0525,0.0723,0.8413,0.8667"
