OccurrrenceUrn.v1	TextPassage
urn:cite:hmt:venAsign.1.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.2
urn:cite:hmt:venAsign.2.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.3
urn:cite:hmt:venAsign.3.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.5
urn:cite:hmt:venAsign.4.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.7
urn:cite:hmt:venAsign.5.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.12
urn:cite:hmt:venAsign.6.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.13
urn:cite:hmt:venAsign.7.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.14
urn:cite:hmt:venAsign.8.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.15
urn:cite:hmt:venAsign.9.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.16
urn:cite:hmt:venAsign.10.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.17
urn:cite:hmt:venAsign.11.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.26
urn:cite:hmt:venAsign.12.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.29
urn:cite:hmt:venAsign.13.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.30
urn:cite:hmt:venAsign.14.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.31
urn:cite:hmt:venAsign.15.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.42
urn:cite:hmt:venAsign.16.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.51
urn:cite:hmt:venAsign.17.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.52
urn:cite:hmt:venAsign.18.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.56
urn:cite:hmt:venAsign.19.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.58
urn:cite:hmt:venAsign.20.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.59
urn:cite:hmt:venAsign.21.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.60
urn:cite:hmt:venAsign.22.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.62
urn:cite:hmt:venAsign.23.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.65
urn:cite:hmt:venAsign.24.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.68
urn:cite:hmt:venAsign.25.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.69
urn:cite:hmt:venAsign.26.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.73
urn:cite:hmt:venAsign.27.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.80
urn:cite:hmt:venAsign.28.v1	urn:cts:greekLit:tlg0012.tlg001.msA:1.93
