"urn:cite:hmt:e3.1r","urn:cite:hmt:e3img.E3_001r"
"urn:cite:hmt:e3.1v",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2r",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2v",urn:cite:hmt:e3bifolio.E3_2v_3r
"urn:cite:hmt:e3.3r",urn:cite:hmt:e3bifolio.E3_2v_3r
"urn:cite:hmt:e3.3v",urn:cite:hmt:e3bifolio.E3_3v_4r
"urn:cite:hmt:e3.4r",urn:cite:hmt:e3bifolio.E3_3v_4r
"urn:cite:hmt:e3.4v",urn:cite:hmt:e3bifolio.E3_4v_5r
"urn:cite:hmt:e3.5r",urn:cite:hmt:e3bifolio.E3_4v_5r
"urn:cite:hmt:e3.5v","urn:cite:hmt:e3img.E3_005v"
"urn:cite:hmt:e3.6r","urn:cite:hmt:e3img.E3_006r"
"urn:cite:hmt:e3.6v","urn:cite:hmt:e3img.E3_006v"
"urn:cite:hmt:e3.7r","urn:cite:hmt:e3img.E3_007r"
"urn:cite:hmt:e3.7v","urn:cite:hmt:e3img.E3_007v"
"urn:cite:hmt:e3.8r","urn:cite:hmt:e3img.E3_008r"
"urn:cite:hmt:e3.8v","urn:cite:hmt:e3img.E3_008v"
"urn:cite:hmt:e3.9r","urn:cite:hmt:e3img.E3_009r"
"urn:cite:hmt:e3.9v","urn:cite:hmt:e3img.E3_009v"
"urn:cite:hmt:e3.10r","urn:cite:hmt:e3img.E3_010r"
"urn:cite:hmt:e3.10v","urn:cite:hmt:e3img.E3_010v"
"urn:cite:hmt:e3.11r","urn:cite:hmt:e3img.E3_011r"
"urn:cite:hmt:e3.11v","urn:cite:hmt:e3img.E3_011v"
"urn:cite:hmt:e3.12r","urn:cite:hmt:e3img.E3_012r"
"urn:cite:hmt:e3.12v","urn:cite:hmt:e3img.E3_012v"
"urn:cite:hmt:e3.13r","urn:cite:hmt:e3img.E3_013r"
"urn:cite:hmt:e3.13v","urn:cite:hmt:e3img.E3_013v"
"urn:cite:hmt:e3.14r","urn:cite:hmt:e3img.E3_014r"
"urn:cite:hmt:e3.14v","urn:cite:hmt:e3img.E3_014v"
"urn:cite:hmt:e3.15r","urn:cite:hmt:e3img.E3_015r"
"urn:cite:hmt:e3.15v","urn:cite:hmt:e3img.E3_015v"
"urn:cite:hmt:e3.16r","urn:cite:hmt:e3img.E3_016r"
"urn:cite:hmt:e3.16v","urn:cite:hmt:e3img.E3_016v"
"urn:cite:hmt:e3.17r","urn:cite:hmt:e3img.E3_017r"
"urn:cite:hmt:e3.17v","urn:cite:hmt:e3img.E3_017v"
"urn:cite:hmt:e3.18r","urn:cite:hmt:e3img.E3_018r"
"urn:cite:hmt:e3.18v","urn:cite:hmt:e3img.E3_018v"
"urn:cite:hmt:e3.19r","urn:cite:hmt:e3img.E3_019r"
"urn:cite:hmt:e3.19v","urn:cite:hmt:e3img.E3_019v"
"urn:cite:hmt:e3.20r","urn:cite:hmt:e3img.E3_020r"
"urn:cite:hmt:e3.20v","urn:cite:hmt:e3img.E3_020v"
"urn:cite:hmt:e3.21r","urn:cite:hmt:e3img.E3_021r"
"urn:cite:hmt:e3.21v","urn:cite:hmt:e3img.E3_021v"
"urn:cite:hmt:e3.22r","urn:cite:hmt:e3img.E3_022r"
"urn:cite:hmt:e3.22v","urn:cite:hmt:e3img.E3_022v"
"urn:cite:hmt:e3.23r","urn:cite:hmt:e3img.E3_023r"
"urn:cite:hmt:e3.23v","urn:cite:hmt:e3img.E3_023v"
"urn:cite:hmt:e3.24r","urn:cite:hmt:e3img.E3_024r"
"urn:cite:hmt:e3.24v","urn:cite:hmt:e3img.E3_024v"
"urn:cite:hmt:e3.25r","urn:cite:hmt:e3img.E3_025r"
"urn:cite:hmt:e3.25v","urn:cite:hmt:e3img.E3_025v"
"urn:cite:hmt:e3.26r","urn:cite:hmt:e3img.E3_026r"
"urn:cite:hmt:e3.26v","urn:cite:hmt:e3img.E3_026v"
"urn:cite:hmt:e3.27r","urn:cite:hmt:e3img.E3_027r"
"urn:cite:hmt:e3.27v","urn:cite:hmt:e3img.E3_027v"
"urn:cite:hmt:e3.28r","urn:cite:hmt:e3img.E3_028r"
"urn:cite:hmt:e3.28v","urn:cite:hmt:e3img.E3_028v"
"urn:cite:hmt:e3.29r","urn:cite:hmt:e3img.E3_029r"
"urn:cite:hmt:e3.29v","urn:cite:hmt:e3img.E3_029v"
"urn:cite:hmt:e3.30r","urn:cite:hmt:e3img.E3_030r"
"urn:cite:hmt:e3.30v","urn:cite:hmt:e3img.E3_030v"
"urn:cite:hmt:e3.31r","urn:cite:hmt:e3img.E3_031r"
"urn:cite:hmt:e3.31v","urn:cite:hmt:e3img.E3_031v"
"urn:cite:hmt:e3.32r","urn:cite:hmt:e3img.E3_032r"
"urn:cite:hmt:e3.32v","urn:cite:hmt:e3img.E3_032v"
"urn:cite:hmt:e3.33r","urn:cite:hmt:e3img.E3_033r"
"urn:cite:hmt:e3.33v","urn:cite:hmt:e3img.E3_033v"
"urn:cite:hmt:e3.34r","urn:cite:hmt:e3img.E3_034r"
"urn:cite:hmt:e3.34v","urn:cite:hmt:e3img.E3_034v"
"urn:cite:hmt:e3.35r","urn:cite:hmt:e3img.E3_035r"
"urn:cite:hmt:e3.35v","urn:cite:hmt:e3img.E3_035v"
"urn:cite:hmt:e3.36r","urn:cite:hmt:e3img.E3_036r"
"urn:cite:hmt:e3.36v","urn:cite:hmt:e3img.E3_036v"
"urn:cite:hmt:e3.37r","urn:cite:hmt:e3img.E3_037r"
"urn:cite:hmt:e3.37v","urn:cite:hmt:e3img.E3_037v"
"urn:cite:hmt:e3.38r","urn:cite:hmt:e3img.E3_038r"
"urn:cite:hmt:e3.38v","urn:cite:hmt:e3img.E3_038v"
"urn:cite:hmt:e3.39r","urn:cite:hmt:e3img.E3_039r"
"urn:cite:hmt:e3.39v","urn:cite:hmt:e3img.E3_039v"
"urn:cite:hmt:e3.40r","urn:cite:hmt:e3img.E3_040r"
"urn:cite:hmt:e3.40v","urn:cite:hmt:e3img.E3_040v"
"urn:cite:hmt:e3.41r","urn:cite:hmt:e3img.E3_041r"
"urn:cite:hmt:e3.41v","urn:cite:hmt:e3img.E3_041v"
"urn:cite:hmt:e3.42r","urn:cite:hmt:e3img.E3_042r"
"urn:cite:hmt:e3.42v","urn:cite:hmt:e3img.E3_042v"
"urn:cite:hmt:e3.43r","urn:cite:hmt:e3img.E3_043r"
"urn:cite:hmt:e3.43v","urn:cite:hmt:e3img.E3_043v"
"urn:cite:hmt:e3.44r","urn:cite:hmt:e3img.E3_044r"
"urn:cite:hmt:e3.44v","urn:cite:hmt:e3img.E3_044v"
"urn:cite:hmt:e3.45r","urn:cite:hmt:e3img.E3_045r"
"urn:cite:hmt:e3.45v","urn:cite:hmt:e3img.E3_045v"
"urn:cite:hmt:e3.46r","urn:cite:hmt:e3img.E3_046r"
"urn:cite:hmt:e3.46v","urn:cite:hmt:e3img.E3_046v"
"urn:cite:hmt:e3.47r","urn:cite:hmt:e3img.E3_047r"
"urn:cite:hmt:e3.47v","urn:cite:hmt:e3img.E3_047v"
"urn:cite:hmt:e3.48r","urn:cite:hmt:e3img.E3_048r"
"urn:cite:hmt:e3.48v","urn:cite:hmt:e3img.E3_048v"
"urn:cite:hmt:e3.49r","urn:cite:hmt:e3img.E3_049r"
"urn:cite:hmt:e3.49v","urn:cite:hmt:e3img.E3_049v"
"urn:cite:hmt:e3.50r","urn:cite:hmt:e3img.E3_050r"
"urn:cite:hmt:e3.50v","urn:cite:hmt:e3img.E3_050v"
"urn:cite:hmt:e3.51r","urn:cite:hmt:e3img.E3_051r"
"urn:cite:hmt:e3.51v","urn:cite:hmt:e3img.E3_051v"
"urn:cite:hmt:e3.52r","urn:cite:hmt:e3img.E3_052r"
"urn:cite:hmt:e3.52v","urn:cite:hmt:e3img.E3_052v"
"urn:cite:hmt:e3.53r","urn:cite:hmt:e3img.E3_053r"
"urn:cite:hmt:e3.53v","urn:cite:hmt:e3img.E3_053v"
"urn:cite:hmt:e3.54r","urn:cite:hmt:e3img.E3_054r"
"urn:cite:hmt:e3.54v","urn:cite:hmt:e3img.E3_054v"
"urn:cite:hmt:e3.55r","urn:cite:hmt:e3img.E3_055r"
"urn:cite:hmt:e3.55v","urn:cite:hmt:e3img.E3_055v"
"urn:cite:hmt:e3.56r","urn:cite:hmt:e3img.E3_056r"
