codex,description,pageModel,century
urn:cite:hmt:codices.msA,Venetus A: Marcianus Graecus Z. 454 (= 822),urn:cite:hmt:msA,10
urn:cite:hmt:codices.msB,Venetus B: Marcianus Graecus Z. 453 (= 821),urn:cite:hmt:msB,11
urn:cite:hmt:codices.u4,Marciana 841 (Graecus Z. 458 = Allen U4),urn:cite:hmt:u4,13
urn:cite:hmt:codices.villoison,Villoison Homeri Ilias (Venice 1788),,18
urn:cite:hmt:codices.e3,Escorialensis Υ.1.1 (294 = Allen E3),urn:cite:hmt:e3,11
urn:cite:hmt:codices.e4,Escorialensis Ω.1.12 (513 = Allen E4),urn:cite:hmt:e4,11
urn:cite:hmt:codices.comp,"Domenico Comparetti, Homeri Ilias cum Scholiis (1901 facsimile edition of Venetus A)",urn:cite:hmt:comp,20
urn:cite:hmt:codices.gen44,"Genavensis 44 (Bibliothèque de Genève, ms. gr. 44)",,13
urn:cite:hmt:codices.bod85,"Cologny, Bodmer Collection, codex 85",,13
urn:cite:hmt:codices.vgf64,"Leiden University, codex VGF 64",,15
