folio	rv	sequence	label
urn:cite:hmt:comp.fm1	recto	1	Front Cover
urn:cite:hmt:comp.fm2	verso	2	Inside Front Fover
urn:cite:hmt:comp.fm3	recto	3	Flyleaf
urn:cite:hmt:comp.fm4	verso	4	Flyleaf
urn:cite:hmt:comp.praef1	recto	5	Title Page
urn:cite:hmt:comp.praef2	verso	6	Preface 2
urn:cite:hmt:comp.praef3	recto	7	Preface 3
urn:cite:hmt:comp.praef4	verso	8	Preface 4
urn:cite:hmt:comp.praef5	recto	9	Preface 5
urn:cite:hmt:comp.praef6	verso	10	Preface 6
urn:cite:hmt:comp.praef7	recto	11	Preface 7
urn:cite:hmt:comp.praef8	verso	12	Preface 8
urn:cite:hmt:comp.praef9	recto	13	Preface 9
urn:cite:hmt:comp.praef10	verso	14	Preface 10
urn:cite:hmt:comp.praef11	recto	15	Preface 11
urn:cite:hmt:comp.praef12	verso	16	Preface 12
urn:cite:hmt:comp.praef13	recto	17	Preface 13
urn:cite:hmt:comp.praef14	verso	18	Preface 14 
urn:cite:hmt:comp.praef15	recto	19	Preface 15
urn:cite:hmt:comp.praef16	verso	20	Preface 16
urn:cite:hmt:comp.va1r	recto	21	Venetus A Folio 1 recto
urn:cite:hmt:comp.va1v	verso	22	Venetus A Folio 1 verso
urn:cite:hmt:comp.va2r	recto	23	Venetus A Folio 2 recto
urn:cite:hmt:comp.va2v	verso	24	Venetus A Folio 2 verso
urn:cite:hmt:comp.va3r	recto	25	Venetus A Folio 3 recto
urn:cite:hmt:comp.va3v	verso	26	Venetus A Folio 3 verso
urn:cite:hmt:comp.va4r	recto	27	Venetus A Folio 4 recto
urn:cite:hmt:comp.va4v	verso	28	Venetus A Folio 4 verso
urn:cite:hmt:comp.va5r	recto	29	Venetus A Folio 5 recto
urn:cite:hmt:comp.va5v	verso	30	Venetus A Folio 5 verso
urn:cite:hmt:comp.va6r	recto	31	Venetus A Folio 6 recto
urn:cite:hmt:comp.va6v	verso	32	Venetus A Folio 6 verso
urn:cite:hmt:comp.va7r	recto	33	Venetus A Folio 7 recto
urn:cite:hmt:comp.va7v	verso	34	Venetus A Folio 7 verso
urn:cite:hmt:comp.va8r	recto	35	Venetus A Folio 8 recto
urn:cite:hmt:comp.va8v	verso	36	Venetus A Folio 8 verso
urn:cite:hmt:comp.va9r	recto	37	Venetus A Folio 9 recto
urn:cite:hmt:comp.va9v	verso	38	Venetus A Folio 9 verso
urn:cite:hmt:comp.va10r	recto	39	Venetus A Folio 10 recto
urn:cite:hmt:comp.va10v	verso	40	Venetus A Folio 10 verso
urn:cite:hmt:comp.va11r	recto	41	Venetus A Folio 11 recto
urn:cite:hmt:comp.va11v	verso	42	Venetus A Folio 11 verso
urn:cite:hmt:comp.va12r	recto	43	Venetus A Folio 12 recto
urn:cite:hmt:comp.va12v	verso	44	Venetus A Folio 12 verso
urn:cite:hmt:comp.va13r	recto	45	Venetus A Folio 13 recto
urn:cite:hmt:comp.va13v	verso	46	Venetus A Folio 13 verso
urn:cite:hmt:comp.va14r	recto	47	Venetus A Folio 14 recto
urn:cite:hmt:comp.va14v	verso	48	Venetus A Folio 14 verso
urn:cite:hmt:comp.va15r	recto	49	Venetus A Folio 15 recto
urn:cite:hmt:comp.va15v	verso	50	Venetus A Folio 15 verso
urn:cite:hmt:comp.va16r	recto	51	Venetus A Folio 16 recto
urn:cite:hmt:comp.va16v	verso	52	Venetus A Folio 16 verso
urn:cite:hmt:comp.va17r	recto	53	Venetus A Folio 17 recto
