Sequence,PageUrn,RV,Label
1,urn:cite:hmt:u4.1r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 1, recto"
2,urn:cite:hmt:u4.1v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 1, verso"
3,urn:cite:hmt:u4.2r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 2, recto"
4,urn:cite:hmt:u4.2v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 2, verso"
5,urn:cite:hmt:u4.3r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 3, recto"
6,urn:cite:hmt:u4.3v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 3, verso"
7,urn:cite:hmt:u4.4r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 4, recto"
8,urn:cite:hmt:u4.4v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 4, verso"
9,urn:cite:hmt:u4.5r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 5, recto"
10,urn:cite:hmt:u4.5v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 5, verso"
11,urn:cite:hmt:u4.6r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 6, recto"
12,urn:cite:hmt:u4.6v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 6, verso"
13,urn:cite:hmt:u4.7r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 7, recto"
14,urn:cite:hmt:u4.7v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 7, verso"
15,urn:cite:hmt:u4.8r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 8, recto"
16,urn:cite:hmt:u4.8v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 8, verso"
17,urn:cite:hmt:u4.9r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 9, recto"
18,urn:cite:hmt:u4.9v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 9, verso"
19,urn:cite:hmt:u4.10r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 10, recto"
20,urn:cite:hmt:u4.10v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 10, verso"
21,urn:cite:hmt:u4.11r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 11, recto"
22,urn:cite:hmt:u4.11v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 11, verso"
23,urn:cite:hmt:u4.12r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 12, recto"
24,urn:cite:hmt:u4.12v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 12, verso"
25,urn:cite:hmt:u4.13r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 13, recto"
26,urn:cite:hmt:u4.13v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 13, verso"
27,urn:cite:hmt:u4.14r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 14, recto"
28,urn:cite:hmt:u4.14v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 14, verso"
29,urn:cite:hmt:u4.15r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 15, recto"
30,urn:cite:hmt:u4.15v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 15, verso"
31,urn:cite:hmt:u4.16r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 16, recto"
32,urn:cite:hmt:u4.16v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 16, verso"
33,urn:cite:hmt:u4.17r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 17, recto"
34,urn:cite:hmt:u4.17v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 17, verso"
35,urn:cite:hmt:u4.18r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 18, recto"
36,urn:cite:hmt:u4.18v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 18, verso"
37,urn:cite:hmt:u4.19r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 19, recto"
38,urn:cite:hmt:u4.19v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 19, verso"
39,urn:cite:hmt:u4.20r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 20, recto"
40,urn:cite:hmt:u4.20v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 20, verso"
41,urn:cite:hmt:u4.21r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 21, recto"
42,urn:cite:hmt:u4.21v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 21, verso"
43,urn:cite:hmt:u4.22r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 22, recto"
44,urn:cite:hmt:u4.22v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 22, verso"
45,urn:cite:hmt:u4.23r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 23, recto"
46,urn:cite:hmt:u4.23v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 23, verso"
47,urn:cite:hmt:u4.24r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 24, recto"
48,urn:cite:hmt:u4.24v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 24, verso"
49,urn:cite:hmt:u4.25r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 25, recto"
50,urn:cite:hmt:u4.25v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 25, verso"
51,urn:cite:hmt:u4.26r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 26, recto"
52,urn:cite:hmt:u4.26v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 26, verso"
53,urn:cite:hmt:u4.27r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 27, recto"
54,urn:cite:hmt:u4.27v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 27, verso"
55,urn:cite:hmt:u4.28r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 28, recto"
56,urn:cite:hmt:u4.28v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 28, verso"
57,urn:cite:hmt:u4.29r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 29, recto"
58,urn:cite:hmt:u4.29v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 29, verso"
59,urn:cite:hmt:u4.30r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 30, recto"
60,urn:cite:hmt:u4.30v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 30, verso"
61,urn:cite:hmt:u4.31r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 31, recto"
62,urn:cite:hmt:u4.31v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 31, verso"
63,urn:cite:hmt:u4.32r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 32, recto"
64,urn:cite:hmt:u4.32v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 32, verso"
65,urn:cite:hmt:u4.33r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 33, recto"
66,urn:cite:hmt:u4.33v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 33, verso"
67,urn:cite:hmt:u4.34r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 34, recto"
68,urn:cite:hmt:u4.34v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 34, verso"
69,urn:cite:hmt:u4.35r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 35, recto"
70,urn:cite:hmt:u4.35v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 35, verso"
71,urn:cite:hmt:u4.36r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 36, recto"
72,urn:cite:hmt:u4.36v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 36, verso"
73,urn:cite:hmt:u4.37r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 37, recto"
74,urn:cite:hmt:u4.37v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 37, verso"
75,urn:cite:hmt:u4.38r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 38, recto"
76,urn:cite:hmt:u4.38v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 38, verso"
77,urn:cite:hmt:u4.39r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 39, recto"
78,urn:cite:hmt:u4.39v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 39, verso"
79,urn:cite:hmt:u4.40r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 40, recto"
80,urn:cite:hmt:u4.40v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 40, verso"
81,urn:cite:hmt:u4.41r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 41, recto"
82,urn:cite:hmt:u4.41v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 41, verso"
83,urn:cite:hmt:u4.42r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 42, recto"
84,urn:cite:hmt:u4.42v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 42, verso"
85,urn:cite:hmt:u4.43r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 43, recto"
86,urn:cite:hmt:u4.43v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 43, verso"
87,urn:cite:hmt:u4.44r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 44, recto"
88,urn:cite:hmt:u4.44v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 44, verso"
89,urn:cite:hmt:u4.45r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 45, recto"
90,urn:cite:hmt:u4.45v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 45, verso"
91,urn:cite:hmt:u4.46r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 46, recto"
92,urn:cite:hmt:u4.46v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 46, verso"
93,urn:cite:hmt:u4.47r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 47, recto"
94,urn:cite:hmt:u4.47v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 47, verso"
95,urn:cite:hmt:u4.48r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 48, recto"
96,urn:cite:hmt:u4.48v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 48, verso"
97,urn:cite:hmt:u4.49r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 49, recto"
98,urn:cite:hmt:u4.49v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 49, verso"
99,urn:cite:hmt:u4.50r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 50, recto"
100,urn:cite:hmt:u4.50v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 50, verso"
101,urn:cite:hmt:u4.51r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 51, recto"
102,urn:cite:hmt:u4.51v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 51, verso"
103,urn:cite:hmt:u4.52r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 52, recto"
104,urn:cite:hmt:u4.52v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 52, verso"
105,urn:cite:hmt:u4.53r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 53, recto"
106,urn:cite:hmt:u4.53v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 53, verso"
107,urn:cite:hmt:u4.54r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 54, recto"
108,urn:cite:hmt:u4.54v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 54, verso"
109,urn:cite:hmt:u4.55r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 55, recto"
110,urn:cite:hmt:u4.55v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 55, verso"
111,urn:cite:hmt:u4.56r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 56, recto"
112,urn:cite:hmt:u4.56v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 56, verso"
113,urn:cite:hmt:u4.57r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 57, recto"
114,urn:cite:hmt:u4.57v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 57, verso"
115,urn:cite:hmt:u4.58r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 58, recto"
116,urn:cite:hmt:u4.58v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 58, verso"
117,urn:cite:hmt:u4.59r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 59, recto"
118,urn:cite:hmt:u4.59v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 59, verso"
119,urn:cite:hmt:u4.60r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 60, recto"
120,urn:cite:hmt:u4.60v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 60, verso"
121,urn:cite:hmt:u4.61r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 61, recto"
122,urn:cite:hmt:u4.61v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 61, verso"
123,urn:cite:hmt:u4.62r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 62, recto"
124,urn:cite:hmt:u4.62v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 62, verso"
125,urn:cite:hmt:u4.63r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 63, recto"
126,urn:cite:hmt:u4.63v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 63, verso"
127,urn:cite:hmt:u4.64r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 64, recto"
128,urn:cite:hmt:u4.64v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 64, verso"
129,urn:cite:hmt:u4.65r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 65, recto"
130,urn:cite:hmt:u4.65v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 65, verso"
131,urn:cite:hmt:u4.66r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 66, recto"
132,urn:cite:hmt:u4.66v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 66, verso"
133,urn:cite:hmt:u4.67r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 67, recto"
134,urn:cite:hmt:u4.67v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 67, verso"
135,urn:cite:hmt:u4.68r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 68, recto"
136,urn:cite:hmt:u4.68v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 68, verso"
137,urn:cite:hmt:u4.69r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 69, recto"
138,urn:cite:hmt:u4.69v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 69, verso"
139,urn:cite:hmt:u4.70r,recto,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 70, recto"
140,urn:cite:hmt:u4.70v,verso,"Marciana 841 (Graecus Z. 458 = Allen U4), folio 70, verso"
