Sequence,PageUrn,RV,Label
1,urn:cite:hmt:e4.1r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 1, recto"
2,urn:cite:hmt:e4.1v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 1, verso"
3,urn:cite:hmt:e4.2r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 2, recto"
4,urn:cite:hmt:e4.2v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 2, verso"
5,urn:cite:hmt:e4.3r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 3, recto"
6,urn:cite:hmt:e4.3v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 3, verso"
7,urn:cite:hmt:e4.4r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 4, recto"
8,urn:cite:hmt:e4.4v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 4, verso"
9,urn:cite:hmt:e4.5r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 5, recto"
10,urn:cite:hmt:e4.5v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 5, verso"
11,urn:cite:hmt:e4.6r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 6, recto"
12,urn:cite:hmt:e4.6v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 6, verso"
13,urn:cite:hmt:e4.7r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 7, recto"
14,urn:cite:hmt:e4.7v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 7, verso"
15,urn:cite:hmt:e4.8r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 8, recto"
16,urn:cite:hmt:e4.8v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 8, verso"
17,urn:cite:hmt:e4.9r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 9, recto"
18,urn:cite:hmt:e4.9v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 9, verso"
19,urn:cite:hmt:e4.10r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 10, recto"
20,urn:cite:hmt:e4.10v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 10, verso"
21,urn:cite:hmt:e4.11r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 11, recto"
22,urn:cite:hmt:e4.11v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 11, verso"
23,urn:cite:hmt:e4.12r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 12, recto"
24,urn:cite:hmt:e4.12v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 12, verso"
25,urn:cite:hmt:e4.13r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 13, recto"
26,urn:cite:hmt:e4.13v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 13, verso"
27,urn:cite:hmt:e4.14r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 14, recto"
28,urn:cite:hmt:e4.14v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 14, verso"
29,urn:cite:hmt:e4.15r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 15, recto"
30,urn:cite:hmt:e4.15v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 15, verso"
31,urn:cite:hmt:e4.16r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 16, recto"
32,urn:cite:hmt:e4.16v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 16, verso"
33,urn:cite:hmt:e4.17r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 17, recto"
34,urn:cite:hmt:e4.17v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 17, verso"
35,urn:cite:hmt:e4.18r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 18, recto"
36,urn:cite:hmt:e4.18v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 18, verso"
37,urn:cite:hmt:e4.19r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 19, recto"
38,urn:cite:hmt:e4.19v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 19, verso"
39,urn:cite:hmt:e4.20r,recto,"Escorial Ω I.12 (513 = Allen E4), folio 20, recto"
40,urn:cite:hmt:e4.20v,verso,"Escorial Ω I.12 (513 = Allen E4), folio 20, verso"
