Siglum	Sequence	URN	RV	Label	CodexURN
e4	1	urn:cite:hmt:e4.1r	recto	Escorial Ω I.12 (513 = Allen E4), folio 1r	urn:cite:hmt:codex.e4
e4	2	urn:cite:hmt:e4.1v	verso	Escorial Ω I.12 (513 = Allen E4), folio 1v	urn:cite:hmt:codex.e4
e4	3	urn:cite:hmt:e4.2r	recto	Escorial Ω I.12 (513 = Allen E4), folio 2r	urn:cite:hmt:codex.e4
e4	4	urn:cite:hmt:e4.2v	verso	Escorial Ω I.12 (513 = Allen E4), folio 2v	urn:cite:hmt:codex.e4
e4	5	urn:cite:hmt:e4.3r	recto	Escorial Ω I.12 (513 = Allen E4), folio 3r	urn:cite:hmt:codex.e4
e4	6	urn:cite:hmt:e4.3v	verso	Escorial Ω I.12 (513 = Allen E4), folio 3v	urn:cite:hmt:codex.e4
e4	7	urn:cite:hmt:e4.4r	recto	Escorial Ω I.12 (513 = Allen E4), folio 4r	urn:cite:hmt:codex.e4
e4	8	urn:cite:hmt:e4.4v	verso	Escorial Ω I.12 (513 = Allen E4), folio 4v	urn:cite:hmt:codex.e4
e4	9	urn:cite:hmt:e4.5r	recto	Escorial Ω I.12 (513 = Allen E4), folio 5r	urn:cite:hmt:codex.e4
e4	10	urn:cite:hmt:e4.5v	verso	Escorial Ω I.12 (513 = Allen E4), folio 5v	urn:cite:hmt:codex.e4
e4	11	urn:cite:hmt:e4.6r	recto	Escorial Ω I.12 (513 = Allen E4), folio 6r	urn:cite:hmt:codex.e4
e4	12	urn:cite:hmt:e4.6v	verso	Escorial Ω I.12 (513 = Allen E4), folio 6v	urn:cite:hmt:codex.e4
e4	13	urn:cite:hmt:e4.7r	recto	Escorial Ω I.12 (513 = Allen E4), folio 7r	urn:cite:hmt:codex.e4
e4	14	urn:cite:hmt:e4.7v	verso	Escorial Ω I.12 (513 = Allen E4), folio 7v	urn:cite:hmt:codex.e4
e4	15	urn:cite:hmt:e4.8r	recto	Escorial Ω I.12 (513 = Allen E4), folio 8r	urn:cite:hmt:codex.e4
e4	16	urn:cite:hmt:e4.8v	verso	Escorial Ω I.12 (513 = Allen E4), folio 8v	urn:cite:hmt:codex.e4
e4	17	urn:cite:hmt:e4.9r	recto	Escorial Ω I.12 (513 = Allen E4), folio 9r	urn:cite:hmt:codex.e4
e4	18	urn:cite:hmt:e4.9v	verso	Escorial Ω I.12 (513 = Allen E4), folio 9v	urn:cite:hmt:codex.e4
e4	19	urn:cite:hmt:e4.10r	recto	Escorial Ω I.12 (513 = Allen E4), folio 10r	urn:cite:hmt:codex.e4
e4	20	urn:cite:hmt:e4.10v	verso	Escorial Ω I.12 (513 = Allen E4), folio 10v	urn:cite:hmt:codex.e4
