Siglum	Sequence	URN	RV	MS	CodexURN
u4	25	urn:cite:hmt:u4.13r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 13r	urn:cite:hmt:codex.u4
u4	322	urn:cite:hmt:u4.161v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 161v	urn:cite:hmt:codex.u4
u4	133	urn:cite:hmt:u4.67r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 67r	urn:cite:hmt:codex.u4
u4	340	urn:cite:hmt:u4.170v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 170v	urn:cite:hmt:codex.u4
u4	23	urn:cite:hmt:u4.12r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 12r	urn:cite:hmt:codex.u4
u4	38	urn:cite:hmt:u4.19v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 19v	urn:cite:hmt:codex.u4
u4	154	urn:cite:hmt:u4.77v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 77v	urn:cite:hmt:codex.u4
u4	68	urn:cite:hmt:u4.34v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 34v	urn:cite:hmt:codex.u4
u4	378	urn:cite:hmt:u4.189v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 189v	urn:cite:hmt:codex.u4
u4	74	urn:cite:hmt:u4.37v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 37v	urn:cite:hmt:codex.u4
u4	222	urn:cite:hmt:u4.111v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 111v	urn:cite:hmt:codex.u4
u4	10	urn:cite:hmt:u4.5v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 5v	urn:cite:hmt:codex.u4
u4	54	urn:cite:hmt:u4.27v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 27v	urn:cite:hmt:codex.u4
u4	158	urn:cite:hmt:u4.79v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 79v	urn:cite:hmt:codex.u4
u4	110	urn:cite:hmt:u4.55v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 55v	urn:cite:hmt:codex.u4
u4	326	urn:cite:hmt:u4.163v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 163v	urn:cite:hmt:codex.u4
u4	355	urn:cite:hmt:u4.178r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 178r	urn:cite:hmt:codex.u4
u4	156	urn:cite:hmt:u4.78v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 78v	urn:cite:hmt:codex.u4
u4	143	urn:cite:hmt:u4.72r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 72r	urn:cite:hmt:codex.u4
u4	250	urn:cite:hmt:u4.125v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 125v	urn:cite:hmt:codex.u4
u4	338	urn:cite:hmt:u4.169v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 169v	urn:cite:hmt:codex.u4
u4	131	urn:cite:hmt:u4.66r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 66r	urn:cite:hmt:codex.u4
u4	323	urn:cite:hmt:u4.162r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 162r	urn:cite:hmt:codex.u4
u4	79	urn:cite:hmt:u4.40r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 40r	urn:cite:hmt:codex.u4
u4	118	urn:cite:hmt:u4.59v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 59v	urn:cite:hmt:codex.u4
u4	69	urn:cite:hmt:u4.35r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 35r	urn:cite:hmt:codex.u4
u4	82	urn:cite:hmt:u4.41v	verso	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 41v	urn:cite:hmt:codex.u4
u4	167	urn:cite:hmt:u4.84r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 84r	urn:cite:hmt:codex.u4
u4	227	urn:cite:hmt:u4.114r	recto	U4 (Allen): Marcianus Graecus Z. 458 (= 841), folio 114r	urn:cite:hmt:codex.u4
