Sequence,PageUrn,RV,Label
2,urn:cite:hmt:e3.1r,recto,"Escorialensis 291 (Υ.i.1), folio 1 recto"
3,urn:cite:hmt:e3.1v,verso,"Escorialensis 291 (Υ.i.1), folio 1 verso"
4,urn:cite:hmt:e3.2r,recto,"Escorialensis 291 (Υ.i.1), folio 2 recto"
5,urn:cite:hmt:e3.2v,verso,"Escorialensis 291 (Υ.i.1), folio 2 verso"
6,urn:cite:hmt:e3.3r,recto,"Escorialensis 291 (Υ.i.1), folio 3 recto"
7,urn:cite:hmt:e3.3v,verso,"Escorialensis 291 (Υ.i.1), folio 3 verso"
8,urn:cite:hmt:e3.4r,recto,"Escorialensis 291 (Υ.i.1), folio 4 recto"
9,urn:cite:hmt:e3.4v,verso,"Escorialensis 291 (Υ.i.1), folio 4 verso"
10,urn:cite:hmt:e3.5r,recto,"Escorialensis 291 (Υ.i.1), folio 5 recto"
11,urn:cite:hmt:e3.5v,verso,"Escorialensis 291 (Υ.i.1), folio 5 verso"
12,urn:cite:hmt:e3.6r,recto,"Escorialensis 291 (Υ.i.1), folio 6 recto"
13,urn:cite:hmt:e3.6v,verso,"Escorialensis 291 (Υ.i.1), folio 6 verso"
14,urn:cite:hmt:e3.7r,recto,"Escorialensis 291 (Υ.i.1), folio 7 recto"
15,urn:cite:hmt:e3.7v,verso,"Escorialensis 291 (Υ.i.1), folio 7 verso"
16,urn:cite:hmt:e3.8r,recto,"Escorialensis 291 (Υ.i.1), folio 8 recto"
17,urn:cite:hmt:e3.8v,verso,"Escorialensis 291 (Υ.i.1), folio 8 verso"
18,urn:cite:hmt:e3.9r,recto,"Escorialensis 291 (Υ.i.1), folio 9 recto"
19,urn:cite:hmt:e3.9v,verso,"Escorialensis 291 (Υ.i.1), folio 9 verso"
20,urn:cite:hmt:e3.10r,recto,"Escorialensis 291 (Υ.i.1), folio 10 recto"
21,urn:cite:hmt:e3.10v,verso,"Escorialensis 291 (Υ.i.1), folio 10 verso"
22,urn:cite:hmt:e3.11r,recto,"Escorialensis 291 (Υ.i.1), folio 11 recto"
23,urn:cite:hmt:e3.11v,verso,"Escorialensis 291 (Υ.i.1), folio 11 verso"
24,urn:cite:hmt:e3.12r,recto,"Escorialensis 291 (Υ.i.1), folio 12 recto"
25,urn:cite:hmt:e3.12v,verso,"Escorialensis 291 (Υ.i.1), folio 12 verso"
26,urn:cite:hmt:e3.13r,recto,"Escorialensis 291 (Υ.i.1), folio 13 recto"
27,urn:cite:hmt:e3.13v,verso,"Escorialensis 291 (Υ.i.1), folio 13 verso"
28,urn:cite:hmt:e3.14r,recto,"Escorialensis 291 (Υ.i.1), folio 14 recto"
29,urn:cite:hmt:e3.14v,verso,"Escorialensis 291 (Υ.i.1), folio 14 verso"
30,urn:cite:hmt:e3.15r,recto,"Escorialensis 291 (Υ.i.1), folio 15 recto"
31,urn:cite:hmt:e3.15v,verso,"Escorialensis 291 (Υ.i.1), folio 15 verso"
32,urn:cite:hmt:e3.16r,recto,"Escorialensis 291 (Υ.i.1), folio 16 recto"
33,urn:cite:hmt:e3.16v,verso,"Escorialensis 291 (Υ.i.1), folio 16 verso"
34,urn:cite:hmt:e3.17r,recto,"Escorialensis 291 (Υ.i.1), folio 17 recto"
35,urn:cite:hmt:e3.17v,verso,"Escorialensis 291 (Υ.i.1), folio 17 verso"
36,urn:cite:hmt:e3.18r,recto,"Escorialensis 291 (Υ.i.1), folio 18 recto"
37,urn:cite:hmt:e3.18v,verso,"Escorialensis 291 (Υ.i.1), folio 18 verso"
