Siglum	Sequence	URN	RV	Label	CodexURN
msA	1	urn:cite:hmt:msA.1r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 1r	urn:cite:hmt:codex.msA
msA	2	urn:cite:hmt:msA.1v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 1v	urn:cite:hmt:codex.msA
msA	3	urn:cite:hmt:msA.2r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 2r	urn:cite:hmt:codex.msA
msA	4	urn:cite:hmt:msA.2v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 2v	urn:cite:hmt:codex.msA
msA	5	urn:cite:hmt:msA.3r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 3r	urn:cite:hmt:codex.msA
msA	6	urn:cite:hmt:msA.3v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 3v	urn:cite:hmt:codex.msA
msA	7	urn:cite:hmt:msA.4r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 4r	urn:cite:hmt:codex.msA
msA	8	urn:cite:hmt:msA.4v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 4v	urn:cite:hmt:codex.msA
msA	9	urn:cite:hmt:msA.5r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 5r	urn:cite:hmt:codex.msA
msA	10	urn:cite:hmt:msA.5v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 5v	urn:cite:hmt:codex.msA
msA	11	urn:cite:hmt:msA.6r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 6r	urn:cite:hmt:codex.msA
msA	12	urn:cite:hmt:msA.6v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 6v	urn:cite:hmt:codex.msA
msA	13	urn:cite:hmt:msA.7r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 7r	urn:cite:hmt:codex.msA
msA	14	urn:cite:hmt:msA.7v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 7v	urn:cite:hmt:codex.msA
msA	15	urn:cite:hmt:msA.8r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 8r	urn:cite:hmt:codex.msA
msA	16	urn:cite:hmt:msA.8v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 8v	urn:cite:hmt:codex.msA
