Siglum	Sequence	URN	RV	MS	CodexURN
e3	1	urn:cite:hmt:e3.1r	verso	Escorialensis 291 (Υ.i.1), folio 1r	urn:cite:hmt:codex.e3
e3	2	urn:cite:hmt:e3.1v	verso	Escorialensis 291 (Υ.i.1), folio 1v	urn:cite:hmt:codex.e3
e3	3	urn:cite:hmt:e3.2r	recto	Escorialensis 291 (Υ.i.1), folio 2r	urn:cite:hmt:codex.e3
e3	4	urn:cite:hmt:e3.2v	verso	Escorialensis 291 (Υ.i.1), folio 2v	urn:cite:hmt:codex.e3
e3	5	urn:cite:hmt:e3.3r	recto	Escorialensis 291 (Υ.i.1), folio 3r	urn:cite:hmt:codex.e3
e3	6	urn:cite:hmt:e3.3v	verso	Escorialensis 291 (Υ.i.1), folio 3v	urn:cite:hmt:codex.e3
e3	7	urn:cite:hmt:e3.4r	recto	Escorialensis 291 (Υ.i.1), folio 4r	urn:cite:hmt:codex.e3
e3	8	urn:cite:hmt:e3.4v	verso	Escorialensis 291 (Υ.i.1), folio 4v	urn:cite:hmt:codex.e3
e3	9	urn:cite:hmt:e3.5r	recto	Escorialensis 291 (Υ.i.1), folio 5r	urn:cite:hmt:codex.e3
e3	10	urn:cite:hmt:e3.5v	verso	Escorialensis 291 (Υ.i.1), folio 5v	urn:cite:hmt:codex.e3
e3	11	urn:cite:hmt:e3.6r	recto	Escorialensis 291 (Υ.i.1), folio 6r	urn:cite:hmt:codex.e3
e3	12	urn:cite:hmt:e3.6v	verso	Escorialensis 291 (Υ.i.1), folio 6v	urn:cite:hmt:codex.e3
e3	13	urn:cite:hmt:e3.7r	recto	Escorialensis 291 (Υ.i.1), folio 7r	urn:cite:hmt:codex.e3
e3	14	urn:cite:hmt:e3.7v	verso	Escorialensis 291 (Υ.i.1), folio 7v	urn:cite:hmt:codex.e3
e3	15	urn:cite:hmt:e3.8r	recto	Escorialensis 291 (Υ.i.1), folio 8r	urn:cite:hmt:codex.e3
e3	16	urn:cite:hmt:e3.8v	verso	Escorialensis 291 (Υ.i.1), folio 8v	urn:cite:hmt:codex.e3
e3	17	urn:cite:hmt:e3.9r	recto	Escorialensis 291 (Υ.i.1), folio 9r	urn:cite:hmt:codex.e3
e3	18	urn:cite:hmt:e3.9v	verso	Escorialensis 291 (Υ.i.1), folio 9v	urn:cite:hmt:codex.e3
e3	19	urn:cite:hmt:e3.10r	recto	Escorialensis 291 (Υ.i.1), folio 10r	urn:cite:hmt:codex.e3
e3	20	urn:cite:hmt:e3.10v	verso	Escorialensis 291 (Υ.i.1), folio 10v	urn:cite:hmt:codex.e3
e3	21	urn:cite:hmt:e3.11r	recto	Escorialensis 291 (Υ.i.1), folio 11r	urn:cite:hmt:codex.e3
e3	22	urn:cite:hmt:e3.11v	verso	Escorialensis 291 (Υ.i.1), folio 11v	urn:cite:hmt:codex.e3
e3	23	urn:cite:hmt:e3.12r	recto	Escorialensis 291 (Υ.i.1), folio 12r	urn:cite:hmt:codex.e3
e3	24	urn:cite:hmt:e3.12v	verso	Escorialensis 291 (Υ.i.1), folio 12v	urn:cite:hmt:codex.e3
e3	25	urn:cite:hmt:e3.13r	recto	Escorialensis 291 (Υ.i.1), folio 13r	urn:cite:hmt:codex.e3
e3	26	urn:cite:hmt:e3.13v	verso	Escorialensis 291 (Υ.i.1), folio 13v	urn:cite:hmt:codex.e3
e3	27	urn:cite:hmt:e3.14r	recto	Escorialensis 291 (Υ.i.1), folio 14r	urn:cite:hmt:codex.e3
e3	28	urn:cite:hmt:e3.14v	verso	Escorialensis 291 (Υ.i.1), folio 14v	urn:cite:hmt:codex.e3
e3	29	urn:cite:hmt:e3.15r	recto	Escorialensis 291 (Υ.i.1), folio 15r	urn:cite:hmt:codex.e3
e3	30	urn:cite:hmt:e3.15v	verso	Escorialensis 291 (Υ.i.1), folio 15v	urn:cite:hmt:codex.e3
e3	31	urn:cite:hmt:e3.16r	recto	Escorialensis 291 (Υ.i.1), folio 16r	urn:cite:hmt:codex.e3
e3	32	urn:cite:hmt:e3.16v	verso	Escorialensis 291 (Υ.i.1), folio 16v	urn:cite:hmt:codex.e3
e3	33	urn:cite:hmt:e3.17r	recto	Escorialensis 291 (Υ.i.1), folio 17r	urn:cite:hmt:codex.e3
e3	34	urn:cite:hmt:e3.17v	verso	Escorialensis 291 (Υ.i.1), folio 17v	urn:cite:hmt:codex.e3
e3	35	urn:cite:hmt:e3.18r	recto	Escorialensis 291 (Υ.i.1), folio 18r	urn:cite:hmt:codex.e3
e3	36	urn:cite:hmt:e3.18v	verso	Escorialensis 291 (Υ.i.1), folio 18v	urn:cite:hmt:codex.e3
e3	37	urn:cite:hmt:e3.19r	recto	Escorialensis 291 (Υ.i.1), folio 19r	urn:cite:hmt:codex.e3
e3	38	urn:cite:hmt:e3.19v	verso	Escorialensis 291 (Υ.i.1), folio 19v	urn:cite:hmt:codex.e3
e3	39	urn:cite:hmt:e3.20r	recto	Escorialensis 291 (Υ.i.1), folio 20r	urn:cite:hmt:codex.e3
e3	40	urn:cite:hmt:e3.20v	verso	Escorialensis 291 (Υ.i.1), folio 20v	urn:cite:hmt:codex.e3
e3	41	urn:cite:hmt:e3.21r	recto	Escorialensis 291 (Υ.i.1), folio 21r	urn:cite:hmt:codex.e3
e3	42	urn:cite:hmt:e3.21v	verso	Escorialensis 291 (Υ.i.1), folio 21v	urn:cite:hmt:codex.e3
e3	43	urn:cite:hmt:e3.22r	recto	Escorialensis 291 (Υ.i.1), folio 22r	urn:cite:hmt:codex.e3
e3	44	urn:cite:hmt:e3.22v	verso	Escorialensis 291 (Υ.i.1), folio 22v	urn:cite:hmt:codex.e3
e3	45	urn:cite:hmt:e3.23r	recto	Escorialensis 291 (Υ.i.1), folio 23r	urn:cite:hmt:codex.e3
