Lemma	Gloss	LexURN
ἦ	@	urn:cite:perseusGreek:lexentity.lex115740.1
ὦ	@	urn:cite:perseusGreek:lexentity.lex126551.1
ἕ	him, her	urn:cite:perseusGreek:lexentity.lex113899.1
ὁ	the, that	urn:cite:perseusGreek:lexentity.lex120807.1
ἧ	where	urn:cite:perseusGreek:lexentity.lex115762.1
ᾗ	which way, where, whither	urn:cite:perseusGreek:lexentity.lex126651.1
ἒ	woe! woe	urn:cite:perseusGreek:lexentity.lex112884.1
ἤ1	@	urn:cite:perseusGreek:lexentity.lex115670.1
ἤ2	@	urn:cite:perseusGreek:lexentity.lex115671.1
ἔα	@	urn:cite:perseusGreek:lexentity.lex112885.1
ἰά	@	urn:cite:perseusGreek:lexentity.lex115966.1
ὄψ	@	urn:cite:perseusGreek:lexentity.lex121967.1
ὅς	@	urn:cite:perseusGreek:lexentity.lex122049.1
ὗς	@	urn:cite:perseusGreek:lexentity.lex126004.1
εἰ	@	urn:cite:perseusGreek:lexentity.lex23700.1
μά	@	urn:cite:perseusGreek:lexentity.lex41691.1
μή	@	urn:cite:perseusGreek:lexentity.lex41979.1
οὐ	@	urn:cite:perseusGreek:lexentity.lex49650.1
οὗ	@	urn:cite:perseusGreek:lexentity.lex49952.1
πῶ	@	urn:cite:perseusGreek:lexentity.lex64224.1
ἶψ	a worm that eats horn and wood	urn:cite:perseusGreek:lexentity.lex117824.1
ἄψ	abs) backwards, back again	urn:cite:perseusGreek:lexentity.lex99561.1
αὖ	again, anew, afresh, once more	urn:cite:perseusGreek:lexentity.lex13037.1
φή	as, just as, like	urn:cite:perseusGreek:lexentity.lex76870.1
γε	at least, at any rate	urn:cite:perseusGreek:lexentity.lex15916.1
δή	at this or that point	urn:cite:perseusGreek:lexentity.lex17462.1
νή	attic Particle of strong affirmation, like epic ναί; with acc. of the Divinity invoked, νὴ Δία (in familiar attic, νὴ Δί or νηδἴ, Ar.; also with the Art., νὴ τὸν Δία id=Ar.; νὴ τὴν Ἀθηνᾶν, νὴ τὴν Ἄρτεμιν, νὴ τὸν Ποσειδῶ id=Ar.	urn:cite:perseusGreek:lexentity.lex46985.1
βῆ	baa	urn:cite:perseusGreek:lexentity.lex15480.1
τε	both . . and	urn:cite:perseusGreek:lexentity.lex73586.1
αὗ	bow wow	urn:cite:perseusGreek:lexentity.lex13054.1
δέ	but	urn:cite:perseusGreek:lexentity.lex17379.1
