PersonUrn	Label	Description
urn:cite:hmt:pers.pers1	Achilles	hero of the Iliad, greatest warrior of the Greeks at Troy
urn:cite:hmt:pers.pers2	Lycomedes	king of Scyros, father-in-law to Achilles
urn:cite:hmt:pers.pers3	Glaucon	of Tarsus, writer on Homer
urn:cite:hmt:pers.pers4	Hesiod	early Greek poet, author of the Theogony and the Works and Days
urn:cite:hmt:pers.pers5	Pindar	one of the nine lyric poets
urn:cite:hmt:pers.pers6	Muse	goddesses of knowledge and inspiration
urn:cite:hmt:pers.pers7	Antimachus	poet and grammarian 400BC
urn:cite:hmt:pers.pers8	Zeus	king of the gods
urn:cite:hmt:pers.pers9	Xuthus	son of Hellen and Orseis, ancestor of Achaeans and Ionians
urn:cite:hmt:pers.pers10	Creusa	Xuthus' wife
urn:cite:hmt:pers.pers11	Erechtheus	archaic king of Athens
urn:cite:hmt:pers.pers12	Ion	son of Xuthus
urn:cite:hmt:pers.pers13	Achaeus	son of Xuthus
urn:cite:hmt:pers.pers14	Hellen	son of Deucalion
urn:cite:hmt:pers.pers15	Zenodotus	Hellenistic Homeric scholar, first librarian of the Library of Alexandria
urn:cite:hmt:pers.pers16	Aristarchus	of Samothrace, Hellenistic Homeric scholar
urn:cite:hmt:pers.pers17	Homer	early Greek poet, attributed authorship of the Iliad and Odyssey
urn:cite:hmt:pers.pers18	Momus	God of satire, mockery, poets etc
urn:cite:hmt:pers.pers19	Thetis	sea goddess and mother of Achilles
urn:cite:hmt:pers.pers20	Stasinus	author of Cypria
urn:cite:hmt:pers.pers21	Aristophanes	of Byzantium, Homeric scholar
urn:cite:hmt:pers.pers22	Agamemnon	leader of the Greek forces at Troy
urn:cite:hmt:pers.pers23	Atreus	father of Agamemnon and Menelaus
urn:cite:hmt:pers.pers24	Pelops	father of Atreus
urn:cite:hmt:pers.pers25	Aerope	wife of Atreus
urn:cite:hmt:pers.pers26	Pleisthenes	son of Atreus (not Aerope)
urn:cite:hmt:pers.pers27	Aegisthus	son of Thyestes
urn:cite:hmt:pers.pers28	Thyestes	brother of Atreus
urn:cite:hmt:pers.pers29	Clytemnestra	wife of Agamemnon
urn:cite:hmt:pers.pers30	Orestes	son of Agamemnon and Clytemnestra
urn:cite:hmt:pers.pers31	Laodike	In later tradition renamed Electra, daughter of Agamemnon
urn:cite:hmt:pers.pers32	Chrysothemis	daughter of Agamemnon
urn:cite:hmt:pers.pers33	Iphigenia	daughter of Agamemnon
urn:cite:hmt:pers.pers34	Electra	daughter of Agamenon
