URN	Label	Description	Pleiades
urn:cite:hmt:place.place1	Athens	city in Attica	pleiades.stoa.org/places/579885
urn:cite:hmt:place.place2	Thessaly	northern region of Greece (also called Aeolia)	pleiades.stoa.org/places/1332
urn:cite:hmt:place.place3	Hellas	Greece	pleiades.stoa.org/places/1001896
urn:cite:hmt:place.place4	Dodona	in Epirus	pleiades.stoa.org/places/530843
urn:cite:hmt:place.place5	Mycenae	city in the Peloponnese	pleiades.stoa.org/places/570491
urn:cite:hmt:place.place6	Ilium	ancient name for Troy	pleiades.stoa.org/places/550595
urn:cite:hmt:place.place7	Asteria	ancient name of Delos	pleiades.stoa.org/places/530816
urn:cite:hmt:place.place8	Cyclades	island group in the Aegean	pleiades.stoa.org/places/560353
urn:cite:hmt:place.place9	Delos	island in the Cyclades	pleiades.stoa.org/places/599587
urn:cite:hmt:place.place10	Arcadia	province in the Peloponnese	pleiades.stoa.org/places/570102
urn:cite:hmt:place.place11	Cilla	a town in the Troad	pleiades.stoa.org/places/554254
urn:cite:hmt:place.place12	Pisa	in Greece	pleiades.stoa.org/places/403253
urn:cite:hmt:place.place13	Lesbos	island of the coast of modern Turkey	pleiades.stoa.org/places/550696
urn:cite:hmt:place.place14	Tenedos	island not far from Troy	pleiades.stoa.org/places/550912
urn:cite:hmt:place.place15	Troy	city in modern Turkey	pleiades.stoa.org/places/550595
urn:cite:hmt:place.place16	Leucophrys	former name of Tenedos	pleiades.stoa.org/places/550911
urn:cite:hmt:place.place17	Sminthos	town in the Troad	
urn:cite:hmt:place.place18	Troad	region in western Turkey	pleiades.stoa.org/places/550944
urn:cite:hmt:place.place19	Chryse	town from which Agamemnon took Chryseis	pleiades.stoa.org/places/554214
urn:cite:hmt:place.place20	Mysia	region in northern Turkey	pleiades.stoa.org/places/550759
urn:cite:hmt:place.place21	Crete	island south of mainland Greece	pleiades.stoa.org/places/589748
urn:cite:hmt:place.place22	Hellespont	the narrow crossing between Turkey and the rest of Europe	pleiades.stoa.org/places/501434
urn:cite:hmt:place.place23	Libya	in Africa	pleiades.stoa.org/places/716588
urn:cite:hmt:place.place24	Arabia	the Arabian peninsula	pleiades.stoa.org/places/29475
urn:cite:hmt:place.place25	Egypt	in Africa	pleiades.stoa.org/places/766
urn:cite:hmt:place.place26	Rhodes	island off the SW coast of Turkey	pleiades.stoa.org/places/590031
urn:cite:hmt:place.place27	Lacedaemonia	region around Sparta in the Peloponnese	pleiades.stoa.org/places/570406
urn:cite:hmt:place.place28	Massalia	Greek colony in Gaul	pleiades.stoa.org/places/148127
urn:cite:hmt:place.place29	Aulis	town in Boeotia	pleiades.stoa.org/places/579889
urn:cite:hmt:place.place30	Boeotia	region containing the Greek Thebes	pleiades.stoa.org/places/540689
urn:cite:hmt:place.place31	Tauris	aka Crimea	pleiades.stoa.org/places/197545
urn:cite:hmt:place.place32	Scythia	region in central Asia	pleiades.stoa.org/places/991379
urn:cite:hmt:place.place33	Macedon	region in Northern Greece	pleiades.stoa.org/places/991368
urn:cite:hmt:place.place34	Phthia	southern Thessaly	pleiades.stoa.org/places/541052
urn:cite:hmt:place.place35	Isthmus	of Corinth	pleiades.stoa.org/places/570317
urn:cite:hmt:place.place36	Peloponnese	large peninsula of Greece	pleiades.stoa.org/places/570577
urn:cite:hmt:place.place37	Mt. Parnassus	mountain in central Greece near Delphi	pleiades.stoa.org/places/541012
urn:cite:hmt:place.place38	Amphipolis	city in Thrace	pleiades.stoa.org/places/501347
urn:cite:hmt:place.place39	Cotiaeum	city in Western Turkey	pleiades.stoa.org/places/609444
urn:cite:hmt:place.place40	Argolis	region in the Peloponnese	pleiades.stoa.org/places/570104
