Image,Label,Rights
urn:cite:hmt:e3bifolio.E3_1v_2r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 1v and 2r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_2v_3r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 2v and 3r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_3v_4r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 3v and 4r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_4v_5r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 4v and 5r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_5v_6r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 5v and 6r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_6v_7r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 6v and 7r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_7v_8r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 7v and 8r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_8v_9r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 8v and 9r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_9v_10r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 9v and 10r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_10v_11r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 10v and 11r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_11v_12r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 11v and 12r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_12v_13r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 12v and 13r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_13v_14r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 13v and 14r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_14v_15r,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 14v and 15r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
