Image,Label,Rights
urn:cite:hmt:e3img.E3-001r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 1 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-001v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 1 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-002r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 2 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-002v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 2 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-003r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 3 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-003v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 3 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-004r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 4 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-004v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 4 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-005r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 5 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-005v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 5 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-006r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 6 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-006v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 6 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-007r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 7 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-007v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 7 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-008r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 8 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-008v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 8 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-009r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 9 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-009v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 9 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-010r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 10 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-010v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 10 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-011r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 11 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-011v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 11 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-012r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 12 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-012v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 12 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-013r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 13 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-013v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 13 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-014r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 14 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-014v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 14 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-015r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 15 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-015v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 15 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-016r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 16 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-016v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 16 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-017r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 17 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-017v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 17 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-018r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 18 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-018v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 18 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-019r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 19 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-019v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 19 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-020r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 20 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-020v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 20 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-021r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 21 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-021v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 21 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-022r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 22 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-022v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 22 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-023r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 23 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-023v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 23 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-024r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 24 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-024v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 24 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-025r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 25 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-025v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 25 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-026r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 26 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-026v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 26 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-027r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 27 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-027v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 27 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-028r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 28 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-028v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 28 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-029r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 29 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-029v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 29 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-030r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 30 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-030v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 30 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-031r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 31 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-031v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 31 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-032r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 32 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-032v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 32 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-033r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 33 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-033v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 33 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-034r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 34 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-034v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 34 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-035r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 35 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-035v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 35 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-036r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 36 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-036v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 36 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-037r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 37 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-037v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 37 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-038r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 38 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-038v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 38 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-039r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 39 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-039v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 39 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-040r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 40 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-040v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 40 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-041r,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 41 recto",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
urn:cite:hmt:e3img.E3-041v,"Composite RGB image of manuscript E3, Escorialensis 291 (Υ.i.1): overview of folio 41 verso",Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License.
