Image,Label,Rights
urn:cite:hmt:vaimg.VA082RN-0083,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 82, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA083RN-0084,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 83, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA084RN-0085,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 84, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA085RN-0086,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 85, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA086RN-0087,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 86, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA087RN-0088,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 87, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA088RN-0089,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 88, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA089RN-0090,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 89, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA090RN-0091,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 90, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA091RN-0092,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 91, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA092RN-0093,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 92, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA093RN-0094,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 93, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA094RN-0095,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 94, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA095RN-0096,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 95, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA096RN-0097,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 96, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA097RN-0098,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 97, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA098RN-0099,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 98, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA099RN-0100,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 99, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA100RN-0101,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 100, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA101RN-0102,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 101, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
urn:cite:hmt:vaimg.VA102RN-0103,"Venetus A: Marcianus Graecus Z. 454 (= 822).  Photograph in natural light, folio 102, recto.","This image was derived from an original �©2007, Biblioteca Nazionale Marciana, Venezie, Italia. The derivative image is �2010, Center for Hellenic Studies. Original and derivative are licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 License. The CHS/Marciana Imaging Project was directed by David Jacobs of the British Library."
