Text,ImageReference,Folio Reference
urn:cts:greekLit:tlg5026.msA.hmt:10.1,"urn:cite:hmt:vaimg.VA126RN-0298@0.1549,0.0848,0.6579,0.0369",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.2,"urn:cite:hmt:vaimg.VA126RN-0298@0.1742,0.1067,0.6486,0.0691",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.3,"urn:cite:hmt:vaimg.VA126RN-0298@0.6067,0.1633,0.2168,0.0575",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.4,"urn:cite:hmt:vaimg.VA126RN-0298@0.6086,0.2179,0.2102,0.0872",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.5,"urn:cite:hmt:vaimg.VA126RN-0298@0.6136,0.293,0.2102,0.0939",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.6,"urn:cite:hmt:vaimg.VA126RN-0298@0.6188,0.3759,0.2078,0.0681",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.7,"urn:cite:hmt:vaimg.VA126RN-0298@0.6146,0.438,0.1982,0.0654",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.8,"urn:cite:hmt:vaimg.VA126RN-0298@0.5996,0.4921,0.2142,0.0654",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.9,"urn:cite:hmt:vaimg.VA126RN-0298@0.5926,0.5537,0.2202,0.0841",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.10,"urn:cite:hmt:vaimg.VA126RN-0298@0.5986,0.6289,0.2162,0.0631",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.11,"urn:cite:hmt:vaimg.VA126RN-0298@0.1562,0.6773,0.6569,0.052",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.12,"urn:cite:hmt:vaimg.VA126RN-0298@0.1261,0.7092,0.6827,0.0496",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.13,"urn:cite:hmt:vaimg.VA126RN-0298@0.2551,0.7417,0.5405,0.0238",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.14,"urn:cite:hmt:vaimg.VA126RN-0298@0.1443,0.753,0.668,0.0339",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.15,"urn:cite:hmt:vaimg.VA126RN-0298@0.153,0.7704,0.6635,0.0276",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.16,"urn:cite:hmt:vaimg.VA126RN-0298@0.1513,0.7832,0.6685,0.0336",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.17,"urn:cite:hmt:vaimg.VA126RN-0298@0.1552,0.7964,0.6677,0.0503",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.18,"urn:cite:hmt:vaimg.VA126RN-0298@0.1471,0.8279,0.6767,0.0526",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAim.hmt:10.34,"urn:cite:hmt:vaimg.VA126RN-0298@0.5656,0.553,0.043,0.0413",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAint.hmt:10.32,"urn:cite:hmt:vaimg.VA126RN-0298@0.1111,0.2953,0.0711,0.0609",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAint.hmt:10.33,"urn:cite:hmt:vaimg.VA126RN-0298@0.1031,0.4358,0.0821,0.0413",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.19,"urn:cite:hmt:vaimg.VA126RN-0298@0.4715,0.1998,0.1121,0.0188",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.20,"urn:cite:hmt:vaimg.VA126RN-0298@0.3824,0.2216,0.031,0.0158",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.21,"urn:cite:hmt:vaimg.VA126RN-0298@0.4745,0.2231,0.0671,0.0165",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.22,"urn:cite:hmt:vaimg.VA126RN-0298@0.5566,0.2622,0.0561,0.018",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.23,"urn:cite:hmt:vaimg.VA126RN-0298@0.4675,0.3208,0.046,0.0143",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.24,"urn:cite:hmt:vaimg.VA126RN-0298@0.2492,0.3381,0.02,0.0098",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.25,"urn:cite:hmt:vaimg.VA126RN-0298@0.5265,0.3388,0.0761,0.0158",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.26,"urn:cite:hmt:vaimg.VA126RN-0298@0.2022,0.3531,0.0801,0.0173",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.27,"urn:cite:hmt:vaimg.VA126RN-0298@0.1852,0.3742,0.0921,0.0143",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.28,"urn:cite:hmt:vaimg.VA126RN-0298@0.4414,0.432,0.0671,0.0165",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.29,"urn:cite:hmt:vaimg.VA126RN-0298@0.4034,0.4703,0.0651,0.0173",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.30,"urn:cite:hmt:vaimg.VA126RN-0298@0.2382,0.4853,0.1021,0.0173",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.31,"urn:cite:hmt:vaimg.VA126RN-0298@0.3083,0.5455,0.045,0.015",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msAil.hmt:10.35,"urn:cite:hmt:vaimg.VA126RN-0298@0.3213,0.6198,0.2573,0.0188",urn:cite:hmt:msA.126r
urn:cts:greekLit:tlg5026.msA.hmt:10.36,"urn:cite:hmt:vaimg.VA126VN-0629@0.1982,0.1014,0.4394,0.027",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.37,"urn:cite:hmt:vaimg.VA126VN-0629@0.2142,0.1029,0.6847,0.0421",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.38,"urn:cite:hmt:vaimg.VA126VN-0629@0.2152,0.1187,0.6727,0.0383",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.39,"urn:cite:hmt:vaimg.VA126VN-0629@0.2032,0.423,0.2282,0.0511",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.40,"urn:cite:hmt:vaimg.VA126VN-0629@0.2042,0.4636,0.2282,0.154",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.41,"urn:cite:hmt:vaimg.VA126VN-0629@0.1992,0.6101,0.2312,0.0609",urn:cite:hmt:msA.126v
urn:cts:greekLit:tlg5026.msA.hmt:10.42,"urn:cite:hmt:vaimg.VA126VN-0629@0.2062,0.6612,0.2873,0.0646",urn:cite:hmt:msA.126v
