Passage	Description	ImageReference	Folio
urn:cts:greekLit:tlg0012.tlg001.msA:2.87	bee simile	urn:cite:hmt:chsimg.VA026RN-0027@0.81061164,0.23298284,0.01768607,0.01328168	urn:cite:hmt:msA.26r
urn:cts:greekLit:tlg0012.tlg001.msA:2.144	wave simile	urn:cite:hmt:chsimg.VA027RN-0028@0.80987472,0.33471646,0.01915991,0.01659751	urn:cite:hmt:msA.27r
urn:cts:greekLit:tlg0012.tlg001.msA:2.147	corn simile	urn:cite:hmt:chsimg.VA027RN-0028@0.80913780,0.39363762,0.01621223,0.01327801	urn:cite:hmt:msA.27r
urn:cts:greekLit:tlg0012.tlg001.msA:2.209	wave simile	urn:cite:hmt:chsimg.VA028RN-0029@0.78887251,0.59197787,0.02505527,0.02683264	urn:cite:hmt:msA.28r
urn:cts:greekLit:tlg0012.tlg001.msA:2.289	cry simile	urn:cite:hmt:chsimg.VA030RN-0031@0.80950626,0.20746888,0.01547531,0.01327801	urn:cite:hmt:msA.30r
urn:cts:greekLit:tlg0012.tlg001.msA:2.335	prophecy? (some lines above)	urn:cite:hmt:chsimg.VA030VN-0532@0.17207074,0.64343015,0.02394989,0.01853389	urn:cite:hmt:msA.30v
urn:cts:greekLit:tlg0012.tlg001.msA:2.394	wave simile	urn:cite:hmt:chsimg.VA032RN-0033@0.86919676,0.32835408,0.01989683,0.01521438	urn:cite:hmt:msA.32r
urn:cts:greekLit:tlg0012.tlg001.msA:2.455	fire simile	urn:cite:hmt:chsimg.VA033RN-0034@0.85924834,0.56154910,0.01952837,0.01687414	urn:cite:hmt:msA.33r
urn:cts:greekLit:tlg0012.tlg001.msA:2.459	bird simile	urn:cite:hmt:chsimg.VA033RN-0034@0.86256448,0.64011065,0.01694915,0.01410788	urn:cite:hmt:msA.33r
urn:cts:greekLit:tlg0012.tlg001.msA:2.469	fly simile	urn:cite:hmt:chsimg.VA033VN-0535@0.11495947,0.34052559,0.01510685,0.02157676	urn:cite:hmt:msA.33v
urn:cts:greekLit:tlg0012.tlg001.msA:2.474	goat simile	urn:cite:hmt:chsimg.VA033VN-0535@0.13559322,0.44508990,0.01879145,0.02019364	urn:cite:hmt:msA.33v
urn:cts:greekLit:tlg0012.tlg001.msA:2.480	bull simile	urn:cite:hmt:chsimg.VA033VN-0535@0.14664702,0.54799447,0.01989683,0.01908714	urn:cite:hmt:msA.33v
urn:cts:greekLit:tlg0012.tlg001.msA:2.781	thunder simile (no numeral)		urn:cite:hmt:msA.39v
urn:cts:greekLit:tlg0012.tlg001.msA:3.2	bird simile (no numeral)		urn:cite:hmt:msA.42r
