OccurrrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.1	1	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.2
urn:cite:hmt:venAsign.2	2	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.3
urn:cite:hmt:venAsign.3	3	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.5
urn:cite:hmt:venAsign.4	4	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.7
urn:cite:hmt:venAsign.5	5	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.12
urn:cite:hmt:venAsign.6	6	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.13
urn:cite:hmt:venAsign.7	7	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.14
urn:cite:hmt:venAsign.8	8	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.15
urn:cite:hmt:venAsign.9	9	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.16
urn:cite:hmt:venAsign.10	10	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.17
urn:cite:hmt:venAsign.11	11	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.26
urn:cite:hmt:venAsign.12	12	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.29
urn:cite:hmt:venAsign.13	13	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.30
urn:cite:hmt:venAsign.14	14	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.31
urn:cite:hmt:venAsign.15	15	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.42
urn:cite:hmt:venAsign.16	16	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.51
urn:cite:hmt:venAsign.17	17	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.52
urn:cite:hmt:venAsign.18	18	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.56
urn:cite:hmt:venAsign.19	19	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.58
urn:cite:hmt:venAsign.20	20	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.59
urn:cite:hmt:venAsign.21	21	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.60
urn:cite:hmt:venAsign.22	22	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.62
urn:cite:hmt:venAsign.23	23	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.65
urn:cite:hmt:venAsign.24	24	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.68
urn:cite:hmt:venAsign.25	25	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.69
urn:cite:hmt:venAsign.26	26	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.73
