Siglum	Sequence	URN	RV	Label	CodexURN
msB	415	urn:cite:hmt:msB.208r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 208r	urn:cite:hmt:codex.msB
msB	573	urn:cite:hmt:msB.287r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 287r	urn:cite:hmt:codex.msB
msB	136	urn:cite:hmt:msB.68v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 68v	urn:cite:hmt:codex.msB
msB	360	urn:cite:hmt:msB.180v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 180v	urn:cite:hmt:codex.msB
msB	219	urn:cite:hmt:msB.110r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 110r	urn:cite:hmt:codex.msB
msB	261	urn:cite:hmt:msB.131r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 131r	urn:cite:hmt:codex.msB
msB	542	urn:cite:hmt:msB.271v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 271v	urn:cite:hmt:codex.msB
msB	512	urn:cite:hmt:msB.256v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 256v	urn:cite:hmt:codex.msB
msB	307	urn:cite:hmt:msB.154r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 154r	urn:cite:hmt:codex.msB
msB	123	urn:cite:hmt:msB.62r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 62r	urn:cite:hmt:codex.msB
msB	48	urn:cite:hmt:msB.24v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 24v	urn:cite:hmt:codex.msB
msB	172	urn:cite:hmt:msB.86v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 86v	urn:cite:hmt:codex.msB
msB	521	urn:cite:hmt:msB.261r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 261r	urn:cite:hmt:codex.msB
msB	308	urn:cite:hmt:msB.154v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 154v	urn:cite:hmt:codex.msB
msB	376	urn:cite:hmt:msB.188v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 188v	urn:cite:hmt:codex.msB
msB	322	urn:cite:hmt:msB.161v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 161v	urn:cite:hmt:codex.msB
msB	544	urn:cite:hmt:msB.272v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 272v	urn:cite:hmt:codex.msB
msB	581	urn:cite:hmt:msB.291r	recto	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 291r	urn:cite:hmt:codex.msB
msB	438	urn:cite:hmt:msB.219v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 219v	urn:cite:hmt:codex.msB
msB	102	urn:cite:hmt:msB.51v	verso	Venetus B: Marcianus Graecus Z. 453 (= 821), folio 51v	urn:cite:hmt:codex.msB
