TextUrn,ImageCitation
urn:cts:greekLit:tlg0012.tlg001.msA:4.45,"urn:cite:hmt:vaimg.VA052RN-0053@0.1381,0.4192,0.3954,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.51,"urn:cite:hmt:vaimg.VA052RN-0053@0.1502,0.5297,0.4064,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.55,"urn:cite:hmt:vaimg.VA052RN-0053@0.1311,0.6003,0.4114,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:4.78,"urn:cite:hmt:vaimg.VA052VN-0554@0.4965,0.571,0.4034,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:4.82,"urn:cite:hmt:vaimg.VA052VN-0554@0.4995,0.6401,0.3994,0.0398"
urn:cts:greekLit:tlg0012.tlg001.msA:4.86,"urn:cite:hmt:vaimg.VA053RN-0054@0.1752,0.2569,0.3924,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:4.90,"urn:cite:hmt:vaimg.VA053RN-0054@0.1642,0.3336,0.4144,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.94,"urn:cite:hmt:vaimg.VA053RN-0054@0.1682,0.4087,0.4004,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.98,"urn:cite:hmt:vaimg.VA053RN-0054@0.1532,0.4816,0.4084,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:4.134,"urn:cite:hmt:vaimg.VA054RN-0055@0.1892,0.2141,0.3664,0.0383"
urn:cts:greekLit:tlg0012.tlg001.msA:4.194,"urn:cite:hmt:vaimg.VA055RN-0056@0.1642,0.402,0.3934,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:4.198,"urn:cite:hmt:vaimg.VA055RN-0056@0.1702,0.4793,0.4114,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.202,"urn:cite:hmt:vaimg.VA055RN-0056@0.1602,0.5507,0.3644,0.0361"
urn:cts:greekLit:tlg0012.tlg001.msA:4.206,"urn:cite:hmt:vaimg.VA055RN-0056@0.1461,0.6266,0.3754,0.0361"
