"urn:cite:hmt:e3.1r","urn:cite:hmt:e3img.E3-001r"
"urn:cite:hmt:e3.1v",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2r",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2v","urn:cite:hmt:e3img.E3-002v"
"urn:cite:hmt:e3.3r","urn:cite:hmt:e3img.E3-003r"
"urn:cite:hmt:e3.3v","urn:cite:hmt:e3img.E3-003v"
"urn:cite:hmt:e3.4r","urn:cite:hmt:e3img.E3-004r"
"urn:cite:hmt:e3.4v","urn:cite:hmt:e3img.E3-004v"
"urn:cite:hmt:e3.5r","urn:cite:hmt:e3img.E3-005r"
"urn:cite:hmt:e3.5v","urn:cite:hmt:e3img.E3-005v"
"urn:cite:hmt:e3.6r","urn:cite:hmt:e3img.E3-006r"
"urn:cite:hmt:e3.6v","urn:cite:hmt:e3img.E3-006v"
"urn:cite:hmt:e3.7r","urn:cite:hmt:e3img.E3-007r"
"urn:cite:hmt:e3.7v","urn:cite:hmt:e3img.E3-007v"
"urn:cite:hmt:e3.8r","urn:cite:hmt:e3img.E3-008r"
"urn:cite:hmt:e3.8v","urn:cite:hmt:e3img.E3-008v"
"urn:cite:hmt:e3.9r","urn:cite:hmt:e3img.E3-009r"
"urn:cite:hmt:e3.9v","urn:cite:hmt:e3img.E3-009v"
"urn:cite:hmt:e3.10r","urn:cite:hmt:e3img.E3-010r"
"urn:cite:hmt:e3.10v","urn:cite:hmt:e3img.E3-010v"
"urn:cite:hmt:e3.11r","urn:cite:hmt:e3img.E3-011r"
"urn:cite:hmt:e3.11v","urn:cite:hmt:e3img.E3-011v"
"urn:cite:hmt:e3.12r","urn:cite:hmt:e3img.E3-012r"
"urn:cite:hmt:e3.12v","urn:cite:hmt:e3img.E3-012v"
"urn:cite:hmt:e3.13r","urn:cite:hmt:e3img.E3-013r"
"urn:cite:hmt:e3.13v","urn:cite:hmt:e3img.E3-013v"
"urn:cite:hmt:e3.14r","urn:cite:hmt:e3img.E3-014r"
"urn:cite:hmt:e3.14v","urn:cite:hmt:e3img.E3-014v"
"urn:cite:hmt:e3.15r","urn:cite:hmt:e3img.E3-015r"
"urn:cite:hmt:e3.15v","urn:cite:hmt:e3img.E3-015v"
"urn:cite:hmt:e3.16r","urn:cite:hmt:e3img.E3-016r"
"urn:cite:hmt:e3.16v","urn:cite:hmt:e3img.E3-016v"
"urn:cite:hmt:e3.17r","urn:cite:hmt:e3img.E3-017r"
"urn:cite:hmt:e3.17v","urn:cite:hmt:e3img.E3-017v"
"urn:cite:hmt:e3.18r","urn:cite:hmt:e3img.E3-018r"
"urn:cite:hmt:e3.18v","urn:cite:hmt:e3img.E3-018v"
"urn:cite:hmt:e3.19r","urn:cite:hmt:e3img.E3-019r"
"urn:cite:hmt:e3.19v","urn:cite:hmt:e3img.E3-019v"
"urn:cite:hmt:e3.20r","urn:cite:hmt:e3img.E3-020r"
"urn:cite:hmt:e3.20v","urn:cite:hmt:e3img.E3-020v"
"urn:cite:hmt:e3.21r","urn:cite:hmt:e3img.E3-021r"
"urn:cite:hmt:e3.21v","urn:cite:hmt:e3img.E3-021v"
"urn:cite:hmt:e3.22r","urn:cite:hmt:e3img.E3-022r"
"urn:cite:hmt:e3.22v","urn:cite:hmt:e3img.E3-022v"
"urn:cite:hmt:e3.23r","urn:cite:hmt:e3img.E3-023r"
"urn:cite:hmt:e3.23v","urn:cite:hmt:e3img.E3-023v"
"urn:cite:hmt:e3.24r","urn:cite:hmt:e3img.E3-024r"
"urn:cite:hmt:e3.24v","urn:cite:hmt:e3img.E3-024v"
"urn:cite:hmt:e3.25r","urn:cite:hmt:e3img.E3-025r"
"urn:cite:hmt:e3.25v","urn:cite:hmt:e3img.E3-025v"
"urn:cite:hmt:e3.26r","urn:cite:hmt:e3img.E3-026r"
"urn:cite:hmt:e3.26v","urn:cite:hmt:e3img.E3-026v"
"urn:cite:hmt:e3.27r","urn:cite:hmt:e3img.E3-027r"
"urn:cite:hmt:e3.27v","urn:cite:hmt:e3img.E3-027v"
"urn:cite:hmt:e3.28r","urn:cite:hmt:e3img.E3-028r"
"urn:cite:hmt:e3.28v","urn:cite:hmt:e3img.E3-028v"
"urn:cite:hmt:e3.29r","urn:cite:hmt:e3img.E3-029r"
"urn:cite:hmt:e3.29v","urn:cite:hmt:e3img.E3-029v"
"urn:cite:hmt:e3.30r","urn:cite:hmt:e3img.E3-030r"
"urn:cite:hmt:e3.30v","urn:cite:hmt:e3img.E3-030v"
"urn:cite:hmt:e3.31r","urn:cite:hmt:e3img.E3-031r"
"urn:cite:hmt:e3.31v","urn:cite:hmt:e3img.E3-031v"
"urn:cite:hmt:e3.32r","urn:cite:hmt:e3img.E3-032r"
"urn:cite:hmt:e3.32v","urn:cite:hmt:e3img.E3-032v"
"urn:cite:hmt:e3.33r","urn:cite:hmt:e3img.E3-033r"
"urn:cite:hmt:e3.33v","urn:cite:hmt:e3img.E3-033v"
"urn:cite:hmt:e3.34r","urn:cite:hmt:e3img.E3-034r"
"urn:cite:hmt:e3.34v","urn:cite:hmt:e3img.E3-034v"
"urn:cite:hmt:e3.35r","urn:cite:hmt:e3img.E3-035r"
"urn:cite:hmt:e3.35v","urn:cite:hmt:e3img.E3-035v"
"urn:cite:hmt:e3.36r","urn:cite:hmt:e3img.E3-036r"
"urn:cite:hmt:e3.36v","urn:cite:hmt:e3img.E3-036v"
"urn:cite:hmt:e3.37r","urn:cite:hmt:e3img.E3-037r"
"urn:cite:hmt:e3.37v","urn:cite:hmt:e3img.E3-037v"
"urn:cite:hmt:e3.38r","urn:cite:hmt:e3img.E3-038r"
"urn:cite:hmt:e3.38v","urn:cite:hmt:e3img.E3-038v"
"urn:cite:hmt:e3.39r","urn:cite:hmt:e3img.E3-039r"
"urn:cite:hmt:e3.39v","urn:cite:hmt:e3img.E3-039v"
"urn:cite:hmt:e3.40r","urn:cite:hmt:e3img.E3-040r"
"urn:cite:hmt:e3.40v","urn:cite:hmt:e3img.E3-040v"
"urn:cite:hmt:e3.41r","urn:cite:hmt:e3img.E3-041r"
"urn:cite:hmt:e3.41v","urn:cite:hmt:e3img.E3-041v"
"urn:cite:hmt:e3.42r","urn:cite:hmt:e3img.E3-042r"
"urn:cite:hmt:e3.42v","urn:cite:hmt:e3img.E3-042v"
"urn:cite:hmt:e3.43r","urn:cite:hmt:e3img.E3-043r"
"urn:cite:hmt:e3.43v","urn:cite:hmt:e3img.E3-043v"
"urn:cite:hmt:e3.44r","urn:cite:hmt:e3img.E3-044r"
"urn:cite:hmt:e3.44v","urn:cite:hmt:e3img.E3-044v"
"urn:cite:hmt:e3.45r","urn:cite:hmt:e3img.E3-045r"
"urn:cite:hmt:e3.45v","urn:cite:hmt:e3img.E3-045v"
"urn:cite:hmt:e3.46r","urn:cite:hmt:e3img.E3-046r"
"urn:cite:hmt:e3.46v","urn:cite:hmt:e3img.E3-046v"
"urn:cite:hmt:e3.47r","urn:cite:hmt:e3img.E3-047r"
"urn:cite:hmt:e3.47v","urn:cite:hmt:e3img.E3-047v"
"urn:cite:hmt:e3.48r","urn:cite:hmt:e3img.E3-048r"
"urn:cite:hmt:e3.48v","urn:cite:hmt:e3img.E3-048v"
"urn:cite:hmt:e3.49r","urn:cite:hmt:e3img.E3-049r"
"urn:cite:hmt:e3.49v","urn:cite:hmt:e3img.E3-049v"
"urn:cite:hmt:e3.50r","urn:cite:hmt:e3img.E3-050r"
"urn:cite:hmt:e3.50v","urn:cite:hmt:e3img.E3-050v"
"urn:cite:hmt:e3.51r","urn:cite:hmt:e3img.E3-051r"
"urn:cite:hmt:e3.51v","urn:cite:hmt:e3img.E3-051v"
"urn:cite:hmt:e3.52r","urn:cite:hmt:e3img.E3-052r"
"urn:cite:hmt:e3.52v","urn:cite:hmt:e3img.E3-052v"
"urn:cite:hmt:e3.53r","urn:cite:hmt:e3img.E3-053r"
"urn:cite:hmt:e3.53v","urn:cite:hmt:e3img.E3-053v"
"urn:cite:hmt:e3.54r","urn:cite:hmt:e3img.E3-054r"
"urn:cite:hmt:e3.54v","urn:cite:hmt:e3img.E3-054v"
"urn:cite:hmt:e3.55r","urn:cite:hmt:e3img.E3-055r"
"urn:cite:hmt:e3.55v","urn:cite:hmt:e3img.E3-055v"
"urn:cite:hmt:e3.56r","urn:cite:hmt:e3img.E3-056r"
"urn:cite:hmt:e3.56v","urn:cite:hmt:e3img.E3-056v"
