CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msA.hmt:3.5,"","urn:cite:hmt:vaimg.VA042RN-0043@0.13522476,0.11950207,0.60574797,0.03098202","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.1,"","urn:cite:hmt:vaimg.VA042RN-0043@0.13780398,0.13609959,0.60722181,0.04536653","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.671,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11827561,0.16514523,0.65327929,0.03236515","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.8,"","urn:cite:hmt:vaimg.VA042RN-0043@0.13098747,0.18174274,0.61348563,0.02572614","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.10,"","urn:cite:hmt:vaimg.VA042RN-0043@0.12822402,0.19585062,0.63890936,0.02489627","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.12,"","urn:cite:hmt:vaimg.VA042RN-0043@0.32498158,0.20636238,0.42667649,0.03928077","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.15,"","urn:cite:hmt:vaimg.VA042RN-0043@0.53721444,0.24619640,0.22254974,0.04591978","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.16,"","urn:cite:hmt:vaimg.VA042RN-0043@0.53205601,0.27939142,0.22328666,0.07745505","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.23,"","urn:cite:hmt:vaimg.VA042RN-0043@0.54089904,0.34896266,0.21591746,0.26666667","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.40,"","urn:cite:hmt:vaimg.VA042RN-0043@0.52579219,0.61881051,0.22162859,0.06597510","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.50,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11385409,0.68492393,0.63780398,0.07468880","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.672,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11882830,0.74011065,0.63227708,0.04896266","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.673,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11145910,0.77510373,0.64112012,0.04979253","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.25,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11035372,0.80774550,0.64167281,0.03236515","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.674,"","urn:cite:hmt:vaimg.VA042RN-0043@0.11938099,0.81742739,0.64664702,0.08049793","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msA.hmt:3.60,"","urn:cite:hmt:vaimg.VA042VN-0544@0.21812822,0.13499308,0.65438467,0.03430152","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msA.hmt:3.68,"","urn:cite:hmt:vaimg.VA042VN-0544@0.21168018,0.16127248,0.66433309,0.04066390","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msA.hmt:3.65,"","urn:cite:hmt:vaimg.VA042VN-0544@0.21702284,0.18423237,0.65327929,0.03734440","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msA.hmt:3.70,"","urn:cite:hmt:vaimg.VA042VN-0544@0.20707443,0.21839557,0.22052321,0.13858921","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msA.hmt:3.74,"","urn:cite:hmt:vaimg.VA042VN-0544@0.20707443,0.34993084,0.22144436,0.06390041","urn:cite:hmt:msA.42v"
