urn	text
urn:cts:greekLit:tlg5026.msAim.normed:24.A1.comment	οτι περισσος ο δε⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.A2.comment	εν αλλω καλυψε
urn:cts:greekLit:tlg5026.msAim.normed:24.B1.comment	ουτως δια του α η παραληγουσα κτερισαιεν . ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.B2.comment	αντι του εοικεν
urn:cts:greekLit:tlg5026.msAim.normed:24.B3.comment	αρισταρχος νεμεσσηθεωμεν δια του θε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.1bis.comment	εν αλλω εμμεμαυια ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.2bis.comment	γραφεται αμφι δε τ'
urn:cts:greekLit:tlg5026.msAim.normed:24.3bis.comment	εν τη κατα ριανον ος ταχ' εμελλον
urn:cts:greekLit:tlg5026.msAim.normed:24.4bis.comment	αρσταρχος εξαναβασαι και αι πλειους ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.X1.comment	γραφεται εν δ' αρα τον γε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.X2.comment	οτι ουτως ειπεν αντι του εαυτον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.X3.comment	εν αλλω τη ειη ος δωρα φερει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.X4.comment	οτι αντι του ταχεως ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.X5.comment	ουτως δια του ν οιον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.1.comment	γραφεται φιλησι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.2.comment	οτι νεκρον ον εκτανε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.3.comment	οτι αντι εις κλισιην ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.4.comment	το πλινθιον το επανω των αμαξων τιθεμενον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.5.comment	αρισταρχος ανωγεν εξω του ι
urn:cts:greekLit:tlg5026.msAim.normed:24.6.comment	αρισταρχος ανηρετο μυθω :
urn:cts:greekLit:tlg5026.msAim.normed:24.7.comment	κατεχοιμι εις το εσθιειν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.8.comment	οτι παρελκει τα παντα ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.9.comment	αρισταρχος η ονοσασθ’
urn:cts:greekLit:tlg5026.msAim.normed:24.10.comment	βραχυ διασταλτεον μετα το ιδειν προς το σαφεστερον⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.11.comment	ως τε διακρινθειτε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.12.comment	εν αλλω εον αγγελον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.13.comment	γραφεται χαιρων ενι θυμω ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.14.comment	λειπει η παρα
urn:cts:greekLit:tlg5026.msAim.normed:24.15.comment	εν αλλω εον αγγελον
urn:cts:greekLit:tlg5026.msAim.normed:24.16.comment	γραφεται μεγιστον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.17.comment	γραφεται δι αστεος
urn:cts:greekLit:tlg5026.msAim.normed:24.18.comment	γραφεται ο γερων ξερτου επεβισετο ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.19.comment	εν τη χια καταβαντε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.20.comment	ουτως αρισταρχος δια του ε . αι δε κοιναι δια του η εθελη ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.21.comment	εν αλλω αιψα δ' αρ ες τροιην ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.22.comment	γραφεται ει δε κεν η διπλη δε οτι το δεν παρελκεται ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.23.comment	ουτως δια του π ουτω πη · εν δε τισι δια του δ ουτω δη ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.24.comment	οτι θηλυκως την ιλιον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.25.comment	οτι αντι εθεωμεθα
urn:cts:greekLit:tlg5026.msAim.normed:24.26.comment	γραφεται εξ δε τω
urn:cts:greekLit:tlg5026.msAim.normed:24.27.comment	ουτως των μετα ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.28.comment	ου γαρ τις τ' ανυσις εν αλλω ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.29.comment	αρισταρχος συν τω ν των σε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:24.30.comment	οτι ζηνοδοτος γραφει εοιο · και οτι λειπει η περι ⁑
