Speech,Speaker,Passage
urn:cite:hmt:speech.1.v1,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.17-1.21
urn:cite:hmt:speech.43.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.26-1.32
urn:cite:hmt:speech.44.v1,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.37-1.42
urn:cite:hmt:speech.45.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.59-1.67
urn:cite:hmt:speech.46.v1,urn:cite:hmt:pers.pers74,urn:cts:greekLit:tlg0012.tlg001.msA:1.74-1.83
urn:cite:hmt:speech.47.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.85-1.91
urn:cite:hmt:speech.48.v1,urn:cite:hmt:pers.pers74,urn:cts:greekLit:tlg0012.tlg001.msA:1.93-1.100
urn:cite:hmt:speech.49.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.106-1.120
urn:cite:hmt:speech.50.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.122-1.129
urn:cite:hmt:speech.51.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.131-1.147
urn:cite:hmt:speech.52.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.149-1.171
urn:cite:hmt:speech.53.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.173-1.187
urn:cite:hmt:speech.54.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.202-1.205
urn:cite:hmt:speech.55.v1,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:1.207-1.214
urn:cite:hmt:speech.56.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.216-1.218
urn:cite:hmt:speech.57.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.225-1.244
urn:cite:hmt:speech.58.v1,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:1.254-1.284
urn:cite:hmt:speech.59.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.286-1.291
urn:cite:hmt:speech.60.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.293-1.303
urn:cite:hmt:speech.61.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:1.322-1.325
urn:cite:hmt:speech.62.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.334-1.344
urn:cite:hmt:speech.63.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.352-1.356
urn:cite:hmt:speech.64.v1,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.362-1.363
urn:cite:hmt:speech.65.v1,urn:cite:hmt:pers.pers1,urn:cts:greekLit:tlg0012.tlg001.msA:1.365-1.412
urn:cite:hmt:speech.66.v1,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.414-1.427
urn:cite:hmt:speech.67.v1,urn:cite:hmt:pers.pers118,urn:cts:greekLit:tlg0012.tlg001.msA:1.442-1.445
urn:cite:hmt:speech.68.v1,urn:cite:hmt:pers.pers44,urn:cts:greekLit:tlg0012.tlg001.msA:1.451-1.456
urn:cite:hmt:speech.69.v1,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.503-1.510
urn:cite:hmt:speech.70.v1,urn:cite:hmt:pers.pers19,urn:cts:greekLit:tlg0012.tlg001.msA:1.514-1.516
urn:cite:hmt:speech.71.v1,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.518-1.527
urn:cite:hmt:speech.72.v1,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:1.540-1.543
urn:cite:hmt:speech.73.v1,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.545-1.550
urn:cite:hmt:speech.74.v1,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:1.552-1.559
urn:cite:hmt:speech.75.v1,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:1.561-1.567
urn:cite:hmt:speech.76.v1,urn:cite:hmt:pers.pers192,urn:cts:greekLit:tlg0012.tlg001.msA:1.573-1.583
urn:cite:hmt:speech.77.v1,urn:cite:hmt:pers.pers192,urn:cts:greekLit:tlg0012.tlg001.msA:2.586-2.594
urn:cite:hmt:speech.78.v1,urn:cite:hmt:pers.pers8,urn:cts:greekLit:tlg0012.tlg001.msA:2.11-2.15
urn:cite:hmt:speech.79.v1,urn:cite:hmt:pers.pers659,urn:cts:greekLit:tlg0012.tlg001.msA:2.23-2.34
urn:cite:hmt:speech.80.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.56-2.75
urn:cite:hmt:speech.81.v1,urn:cite:hmt:pers.pers117,urn:cts:greekLit:tlg0012.tlg001.msA:2.79-2.83
urn:cite:hmt:speech.82.v1,urn:cite:hmt:pers.pers22,urn:cts:greekLit:tlg0012.tlg001.msA:2.110-2.141
urn:cite:hmt:speech.83.v1,urn:cite:hmt:pers.pers116,urn:cts:greekLit:tlg0012.tlg001.msA:2.157-2.165
urn:cite:hmt:speech.84.v1,urn:cite:hmt:pers.pers67,urn:cts:greekLit:tlg0012.tlg001.msA:2.173-2.181
