Sequence,PageUrn,RV,Label
1,urn:cite:hmt:e4.1r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 1, recto"
2,urn:cite:hmt:e4.1v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 1, verso"
3,urn:cite:hmt:e4.2r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 2, recto"
4,urn:cite:hmt:e4.2v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 2, verso"
5,urn:cite:hmt:e4.3r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 3, recto"
6,urn:cite:hmt:e4.3v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 3, verso"
7,urn:cite:hmt:e4.4r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 4, recto"
8,urn:cite:hmt:e4.4v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 4, verso"
9,urn:cite:hmt:e4.5r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 5, recto"
10,urn:cite:hmt:e4.5v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 5, verso"
11,urn:cite:hmt:e4.6r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 6, recto"
12,urn:cite:hmt:e4.6v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 6, verso"
13,urn:cite:hmt:e4.7r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 7, recto"
14,urn:cite:hmt:e4.7v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 7, verso"
15,urn:cite:hmt:e4.8r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 8, recto"
16,urn:cite:hmt:e4.8v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 8, verso"
17,urn:cite:hmt:e4.9r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 9, recto"
18,urn:cite:hmt:e4.9v.v1,verso,"Escorial Ω I.12 (513 = Allen E4), folio 9, verso"
19,urn:cite:hmt:e4.10r.v1,recto,"Escorial Ω I.12 (513 = Allen E4), folio 10, recto"
