Caption,Text,VisualEvidence,Folio,Label
urn:cite:hmt:captions.1.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:1,"urn:cite:hmt:vaimg.VA001RN_0002.v1@0.593,0.5582,0.119,0.0306",urn:cite:hmt:msA.1r,"Caption 1"
urn:cite:hmt:captions.2.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:2,"urn:cite:hmt:vaimg.VA001RN_0002.v1@0.6585,0.5925,0.073,0.0343",urn:cite:hmt:msA.1r,"Caption 2"
urn:cite:hmt:captions.3.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:3,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.1775,0.2809,0.0925,0.0285",urn:cite:hmt:msA.1v,"Caption 3"
urn:cite:hmt:captions.4.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:4,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.118,0.5659,0.092,0.0308",urn:cite:hmt:msA.1v,"Caption 4"
urn:cite:hmt:captions.5.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:5,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.3155,0.558,0.1015,0.0297",urn:cite:hmt:msA.1v,"Caption 5"
urn:cite:hmt:captions.6.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:6,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.59,0.5993,0.1275,0.0432",urn:cite:hmt:msA.1v,"Caption 6"
urn:cite:hmt:captions.7.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:7,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.1605,0.6275,0.073,0.0308",urn:cite:hmt:msA.1v,"Caption 7"
urn:cite:hmt:captions.8.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:8,"urn:cite:hmt:vaimg.VA001VN_0503.v1@0.231,0.6403,0.098,0.0263",urn:cite:hmt:msA.1v,"Caption 8"
urn:cite:hmt:captions.9.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:9,"urn:cite:hmt:vaimg.VA004VN_0506.v1@0.5175,0.3455,0.2525,0.0638",urn:cite:hmt:msA.4v,"Caption 9"
urn:cite:hmt:captions.10.v1,urn:cts:greekLit:msannotations.VAcaptions.hmt:10,"urn:cite:hmt:vaimg.VA009RN_0010.v1@0.0767,0.3149,0.0387,0.1207",urn:cite:hmt:msA.9r,"Caption 10"
