"urn:cite:hmt:e3.1r.v1","urn:cite:hmt:e3img.E3_001r"
"urn:cite:hmt:e3.1v.v1",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2r.v1",urn:cite:hmt:e3bifolio.E3_1v_2r
"urn:cite:hmt:e3.2v.v1",urn:cite:hmt:e3bifolio.E3_2v_3r
"urn:cite:hmt:e3.3r.v1",urn:cite:hmt:e3bifolio.E3_2v_3r
"urn:cite:hmt:e3.3v.v1",urn:cite:hmt:e3bifolio.E3_3v_4r
"urn:cite:hmt:e3.4r.v1",urn:cite:hmt:e3bifolio.E3_3v_4r
"urn:cite:hmt:e3.4v.v1",urn:cite:hmt:e3bifolio.E3_4v_5r
"urn:cite:hmt:e3.5r.v1",urn:cite:hmt:e3bifolio.E3_4v_5r
"urn:cite:hmt:e3.5v.v1","urn:cite:hmt:e3img.E3_005v"
"urn:cite:hmt:e3.6r.v1","urn:cite:hmt:e3img.E3_006r"
"urn:cite:hmt:e3.6v.v1","urn:cite:hmt:e3img.E3_006v"
"urn:cite:hmt:e3.7r.v1","urn:cite:hmt:e3img.E3_007r"
"urn:cite:hmt:e3.7v.v1","urn:cite:hmt:e3img.E3_007v"
"urn:cite:hmt:e3.8r.v1","urn:cite:hmt:e3img.E3_008r"
"urn:cite:hmt:e3.8v.v1","urn:cite:hmt:e3img.E3_008v"
"urn:cite:hmt:e3.9r.v1","urn:cite:hmt:e3img.E3_009r"
"urn:cite:hmt:e3.9v.v1","urn:cite:hmt:e3img.E3_009v"
"urn:cite:hmt:e3.10r.v1","urn:cite:hmt:e3img.E3_010r"
"urn:cite:hmt:e3.10v.v1","urn:cite:hmt:e3img.E3_010v"
"urn:cite:hmt:e3.11r.v1","urn:cite:hmt:e3img.E3_011r"
"urn:cite:hmt:e3.11v.v1","urn:cite:hmt:e3img.E3_011v"
"urn:cite:hmt:e3.12r.v1","urn:cite:hmt:e3img.E3_012r"
"urn:cite:hmt:e3.12v.v1","urn:cite:hmt:e3img.E3_012v"
"urn:cite:hmt:e3.13r.v1","urn:cite:hmt:e3img.E3_013r"
"urn:cite:hmt:e3.13v.v1","urn:cite:hmt:e3img.E3_013v"
"urn:cite:hmt:e3.14r.v1","urn:cite:hmt:e3img.E3_014r"
"urn:cite:hmt:e3.14v.v1","urn:cite:hmt:e3img.E3_014v"
"urn:cite:hmt:e3.15r.v1","urn:cite:hmt:e3img.E3_015r"
"urn:cite:hmt:e3.15v.v1","urn:cite:hmt:e3img.E3_015v"
"urn:cite:hmt:e3.16r.v1","urn:cite:hmt:e3img.E3_016r"
"urn:cite:hmt:e3.16v.v1","urn:cite:hmt:e3img.E3_016v"
"urn:cite:hmt:e3.17r.v1","urn:cite:hmt:e3img.E3_017r"
"urn:cite:hmt:e3.17v.v1","urn:cite:hmt:e3img.E3_017v"
"urn:cite:hmt:e3.18r.v1","urn:cite:hmt:e3img.E3_018r"
"urn:cite:hmt:e3.18v.v1","urn:cite:hmt:e3img.E3_018v"
"urn:cite:hmt:e3.19r.v1","urn:cite:hmt:e3img.E3_019r"
"urn:cite:hmt:e3.19v.v1","urn:cite:hmt:e3img.E3_019v"
"urn:cite:hmt:e3.20r.v1","urn:cite:hmt:e3img.E3_020r"
"urn:cite:hmt:e3.20v.v1","urn:cite:hmt:e3img.E3_020v"
"urn:cite:hmt:e3.21r.v1","urn:cite:hmt:e3img.E3_021r"
"urn:cite:hmt:e3.21v.v1","urn:cite:hmt:e3img.E3_021v"
"urn:cite:hmt:e3.22r.v1","urn:cite:hmt:e3img.E3_022r"
"urn:cite:hmt:e3.22v.v1","urn:cite:hmt:e3img.E3_022v"
"urn:cite:hmt:e3.23r.v1","urn:cite:hmt:e3img.E3_023r"
"urn:cite:hmt:e3.23v.v1","urn:cite:hmt:e3img.E3_023v"
"urn:cite:hmt:e3.24r.v1","urn:cite:hmt:e3img.E3_024r"
"urn:cite:hmt:e3.24v.v1","urn:cite:hmt:e3img.E3_024v"
"urn:cite:hmt:e3.25r.v1","urn:cite:hmt:e3img.E3_025r"
"urn:cite:hmt:e3.25v.v1","urn:cite:hmt:e3img.E3_025v"
"urn:cite:hmt:e3.26r.v1","urn:cite:hmt:e3img.E3_026r"
"urn:cite:hmt:e3.26v.v1","urn:cite:hmt:e3img.E3_026v"
"urn:cite:hmt:e3.27r.v1","urn:cite:hmt:e3img.E3_027r"
"urn:cite:hmt:e3.27v.v1","urn:cite:hmt:e3img.E3_027v"
"urn:cite:hmt:e3.28r.v1","urn:cite:hmt:e3img.E3_028r"
"urn:cite:hmt:e3.28v.v1","urn:cite:hmt:e3img.E3_028v"
"urn:cite:hmt:e3.29r.v1","urn:cite:hmt:e3img.E3_029r"
"urn:cite:hmt:e3.29v.v1","urn:cite:hmt:e3img.E3_029v"
"urn:cite:hmt:e3.30r.v1","urn:cite:hmt:e3img.E3_030r"
"urn:cite:hmt:e3.30v.v1","urn:cite:hmt:e3img.E3_030v"
"urn:cite:hmt:e3.31r.v1","urn:cite:hmt:e3img.E3_031r"
"urn:cite:hmt:e3.31v.v1","urn:cite:hmt:e3img.E3_031v"
"urn:cite:hmt:e3.32r.v1","urn:cite:hmt:e3img.E3_032r"
"urn:cite:hmt:e3.32v.v1","urn:cite:hmt:e3img.E3_032v"
"urn:cite:hmt:e3.33r.v1","urn:cite:hmt:e3img.E3_033r"
"urn:cite:hmt:e3.33v.v1","urn:cite:hmt:e3img.E3_033v"
"urn:cite:hmt:e3.34r.v1","urn:cite:hmt:e3img.E3_034r"
"urn:cite:hmt:e3.34v.v1","urn:cite:hmt:e3img.E3_034v"
"urn:cite:hmt:e3.35r.v1","urn:cite:hmt:e3img.E3_035r"
"urn:cite:hmt:e3.35v.v1","urn:cite:hmt:e3img.E3_035v"
"urn:cite:hmt:e3.36r.v1","urn:cite:hmt:e3img.E3_036r"
"urn:cite:hmt:e3.36v.v1","urn:cite:hmt:e3img.E3_036v"
"urn:cite:hmt:e3.37r.v1","urn:cite:hmt:e3img.E3_037r"
"urn:cite:hmt:e3.37v.v1","urn:cite:hmt:e3img.E3_037v"
"urn:cite:hmt:e3.38r.v1","urn:cite:hmt:e3img.E3_038r"
"urn:cite:hmt:e3.38v.v1","urn:cite:hmt:e3img.E3_038v"
"urn:cite:hmt:e3.39r.v1","urn:cite:hmt:e3img.E3_039r"
"urn:cite:hmt:e3.39v.v1","urn:cite:hmt:e3img.E3_039v"
"urn:cite:hmt:e3.40r.v1","urn:cite:hmt:e3img.E3_040r"
"urn:cite:hmt:e3.40v.v1","urn:cite:hmt:e3img.E3_040v"
"urn:cite:hmt:e3.41r.v1","urn:cite:hmt:e3img.E3_041r"
"urn:cite:hmt:e3.41v.v1","urn:cite:hmt:e3img.E3_041v"
"urn:cite:hmt:e3.42r.v1","urn:cite:hmt:e3img.E3_042r"
"urn:cite:hmt:e3.42v.v1","urn:cite:hmt:e3img.E3_042v"
"urn:cite:hmt:e3.43r.v1","urn:cite:hmt:e3img.E3_043r"
"urn:cite:hmt:e3.43v.v1","urn:cite:hmt:e3img.E3_043v"
"urn:cite:hmt:e3.44r.v1","urn:cite:hmt:e3img.E3_044r"
"urn:cite:hmt:e3.44v.v1","urn:cite:hmt:e3img.E3_044v"
"urn:cite:hmt:e3.45r.v1","urn:cite:hmt:e3img.E3_045r"
"urn:cite:hmt:e3.45v.v1","urn:cite:hmt:e3img.E3_045v"
"urn:cite:hmt:e3.46r.v1","urn:cite:hmt:e3img.E3_046r"
"urn:cite:hmt:e3.46v.v1","urn:cite:hmt:e3img.E3_046v"
"urn:cite:hmt:e3.47r.v1","urn:cite:hmt:e3img.E3_047r"
"urn:cite:hmt:e3.47v.v1","urn:cite:hmt:e3img.E3_047v"
"urn:cite:hmt:e3.48r.v1","urn:cite:hmt:e3img.E3_048r"
"urn:cite:hmt:e3.48v.v1","urn:cite:hmt:e3img.E3_048v"
"urn:cite:hmt:e3.49r.v1","urn:cite:hmt:e3img.E3_049r"
"urn:cite:hmt:e3.49v.v1","urn:cite:hmt:e3img.E3_049v"
"urn:cite:hmt:e3.50r.v1","urn:cite:hmt:e3img.E3_050r"
"urn:cite:hmt:e3.50v.v1","urn:cite:hmt:e3img.E3_050v"
"urn:cite:hmt:e3.51r.v1","urn:cite:hmt:e3img.E3_051r"
"urn:cite:hmt:e3.51v.v1","urn:cite:hmt:e3img.E3_051v"
"urn:cite:hmt:e3.52r.v1","urn:cite:hmt:e3img.E3_052r"
"urn:cite:hmt:e3.52v.v1","urn:cite:hmt:e3img.E3_052v"
"urn:cite:hmt:e3.53r.v1","urn:cite:hmt:e3img.E3_053r"
"urn:cite:hmt:e3.53v.v1","urn:cite:hmt:e3img.E3_053v"
"urn:cite:hmt:e3.54r.v1","urn:cite:hmt:e3img.E3_054r"
"urn:cite:hmt:e3.54v.v1","urn:cite:hmt:e3img.E3_054v"
"urn:cite:hmt:e3.55r.v1","urn:cite:hmt:e3img.E3_055r"
"urn:cite:hmt:e3.55v.v1","urn:cite:hmt:e3img.E3_055v"
"urn:cite:hmt:e3.56r.v1","urn:cite:hmt:e3img.E3_056r"
"urn:cite:hmt:e3.56v.v1","urn:cite:hmt:e3img.E3_056v"
"urn:cite:hmt:e3.57r.v1","urn:cite:hmt:e3img.E3_057r"
"urn:cite:hmt:e3.57v.v1","urn:cite:hmt:e3img.E3_057v"
"urn:cite:hmt:e3.58r.v1","urn:cite:hmt:e3img.E3_058r"
"urn:cite:hmt:e3.58v.v1","urn:cite:hmt:e3img.E3_058v"
"urn:cite:hmt:e3.59r.v1","urn:cite:hmt:e3img.E3_059r"
"urn:cite:hmt:e3.59v.v1","urn:cite:hmt:e3img.E3_059v"
"urn:cite:hmt:e3.60r.v1","urn:cite:hmt:e3img.E3_060r"
"urn:cite:hmt:e3.60v.v1","urn:cite:hmt:e3img.E3_060v"
"urn:cite:hmt:e3.60bisr.v1","urn:cite:hmt:e3img.E3_060bisr"
"urn:cite:hmt:e3.60bisv.v1","urn:cite:hmt:e3img.E3_060bisv"
"urn:cite:hmt:e3.61r.v1","urn:cite:hmt:e3img.E3_061r"
"urn:cite:hmt:e3.61v.v1","urn:cite:hmt:e3img.E3_061v"
"urn:cite:hmt:e3.62r.v1","urn:cite:hmt:e3img.E3_062r"
"urn:cite:hmt:e3.62v.v1","urn:cite:hmt:e3img.E3_062v"
"urn:cite:hmt:e3.63r.v1","urn:cite:hmt:e3img.E3_063r"
"urn:cite:hmt:e3.63v.v1","urn:cite:hmt:e3img.E3_063v"
"urn:cite:hmt:e3.64r.v1","urn:cite:hmt:e3img.E3_064r"
"urn:cite:hmt:e3.64v.v1","urn:cite:hmt:e3img.E3_064v"
"urn:cite:hmt:e3.65r.v1","urn:cite:hmt:e3img.E3_065r"
"urn:cite:hmt:e3.65v.v1","urn:cite:hmt:e3img.E3_065v"
"urn:cite:hmt:e3.66r.v1","urn:cite:hmt:e3img.E3_066r"
"urn:cite:hmt:e3.66v.v1","urn:cite:hmt:e3img.E3_066v"
"urn:cite:hmt:e3.67r.v1","urn:cite:hmt:e3img.E3_067r"
"urn:cite:hmt:e3.67v.v1","urn:cite:hmt:e3img.E3_067v"
"urn:cite:hmt:e3.68r.v1","urn:cite:hmt:e3img.E3_068r"
"urn:cite:hmt:e3.68v.v1","urn:cite:hmt:e3img.E3_068v"
"urn:cite:hmt:e3.69r.v1","urn:cite:hmt:e3img.E3_069r"
"urn:cite:hmt:e3.69v.v1","urn:cite:hmt:e3img.E3_069v"
"urn:cite:hmt:e3.70r.v1","urn:cite:hmt:e3img.E3_070r"
"urn:cite:hmt:e3.70v.v1","urn:cite:hmt:e3img.E3_070v"
"urn:cite:hmt:e3.71r.v1","urn:cite:hmt:e3img.E3_071r"
"urn:cite:hmt:e3.71v.v1","urn:cite:hmt:e3img.E3_071v"
"urn:cite:hmt:e3.72r.v1","urn:cite:hmt:e3img.E3_072r"
"urn:cite:hmt:e3.72v.v1","urn:cite:hmt:e3img.E3_072v"
"urn:cite:hmt:e3.73r.v1","urn:cite:hmt:e3img.E3_073r"
"urn:cite:hmt:e3.73v.v1","urn:cite:hmt:e3img.E3_073v"
"urn:cite:hmt:e3.74r.v1","urn:cite:hmt:e3img.E3_074r"
"urn:cite:hmt:e3.74v.v1","urn:cite:hmt:e3img.E3_074v"
"urn:cite:hmt:e3.75r.v1","urn:cite:hmt:e3img.E3_075r"
"urn:cite:hmt:e3.75v.v1","urn:cite:hmt:e3img.E3_075v"
"urn:cite:hmt:e3.76r.v1","urn:cite:hmt:e3img.E3_076r"
"urn:cite:hmt:e3.76v.v1","urn:cite:hmt:e3img.E3_076v"
"urn:cite:hmt:e3.77r.v1","urn:cite:hmt:e3img.E3_077r"
"urn:cite:hmt:e3.77v.v1","urn:cite:hmt:e3img.E3_077v"
"urn:cite:hmt:e3.78r.v1","urn:cite:hmt:e3img.E3_078r"
"urn:cite:hmt:e3.78v.v1","urn:cite:hmt:e3img.E3_078v"
"urn:cite:hmt:e3.79r.v1","urn:cite:hmt:e3img.E3_079r"
"urn:cite:hmt:e3.79v.v1","urn:cite:hmt:e3img.E3_079v"
"urn:cite:hmt:e3.80r.v1","urn:cite:hmt:e3img.E3_080r"
"urn:cite:hmt:e3.80v.v1","urn:cite:hmt:e3img.E3_080v"
"urn:cite:hmt:e3.81r.v1","urn:cite:hmt:e3img.E3_081r"
"urn:cite:hmt:e3.81v.v1","urn:cite:hmt:e3img.E3_081v"
"urn:cite:hmt:e3.81bisr.v1","urn:cite:hmt:e3img.E3_081bisr"
"urn:cite:hmt:e3.81bisv.v1","urn:cite:hmt:e3img.E3_081bisv"
"urn:cite:hmt:e3.82r.v1","urn:cite:hmt:e3img.E3_082r"
"urn:cite:hmt:e3.82v.v1","urn:cite:hmt:e3img.E3_082v"
"urn:cite:hmt:e3.83r.v1","urn:cite:hmt:e3img.E3_083r"
"urn:cite:hmt:e3.83v.v1","urn:cite:hmt:e3img.E3_083v"
"urn:cite:hmt:e3.84r.v1","urn:cite:hmt:e3img.E3_084r"
"urn:cite:hmt:e3.84v.v1","urn:cite:hmt:e3img.E3_084v"
"urn:cite:hmt:e3.85r.v1","urn:cite:hmt:e3img.E3_085r"
"urn:cite:hmt:e3.85v.v1","urn:cite:hmt:e3img.E3_085v"
"urn:cite:hmt:e3.86r.v1","urn:cite:hmt:e3img.E3_086r"
"urn:cite:hmt:e3.86v.v1","urn:cite:hmt:e3img.E3_086v"
"urn:cite:hmt:e3.87r.v1","urn:cite:hmt:e3img.E3_087r"
"urn:cite:hmt:e3.87v.v1","urn:cite:hmt:e3img.E3_087v"
"urn:cite:hmt:e3.88r.v1","urn:cite:hmt:e3img.E3_088r"
"urn:cite:hmt:e3.88v.v1","urn:cite:hmt:e3img.E3_088v"
"urn:cite:hmt:e3.89r.v1","urn:cite:hmt:e3img.E3_089r"
"urn:cite:hmt:e3.89v.v1","urn:cite:hmt:e3img.E3_089v"
"urn:cite:hmt:e3.90r.v1","urn:cite:hmt:e3img.E3_090r"
"urn:cite:hmt:e3.90v.v1","urn:cite:hmt:e3img.E3_090v"
"urn:cite:hmt:e3.91r.v1","urn:cite:hmt:e3img.E3_091r"
"urn:cite:hmt:e3.91v.v1","urn:cite:hmt:e3img.E3_091v"
"urn:cite:hmt:e3.92r.v1","urn:cite:hmt:e3img.E3_092r"
"urn:cite:hmt:e3.92v.v1","urn:cite:hmt:e3img.E3_092v"
"urn:cite:hmt:e3.93r.v1","urn:cite:hmt:e3img.E3_093r"
"urn:cite:hmt:e3.93v.v1","urn:cite:hmt:e3img.E3_093v"
"urn:cite:hmt:e3.94r.v1","urn:cite:hmt:e3img.E3_094r"
"urn:cite:hmt:e3.94v.v1","urn:cite:hmt:e3img.E3_094v"
"urn:cite:hmt:e3.95r.v1","urn:cite:hmt:e3img.E3_095r"
"urn:cite:hmt:e3.95v.v1","urn:cite:hmt:e3img.E3_095v"
"urn:cite:hmt:e3.96r.v1","urn:cite:hmt:e3img.E3_096r"
"urn:cite:hmt:e3.96v.v1","urn:cite:hmt:e3img.E3_096v"
