Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.1,"urn:cite:hmt:vaimg.VA154VN-0656@0.4585,0.2044,0.4505,0.0631"
urn:cts:greekLit:tlg0012.tlg001.msA:12.2,"urn:cite:hmt:vaimg.VA154VN-0656@0.524,0.2459,0.3557,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:12.3,"urn:cite:hmt:vaimg.VA154VN-0656@0.5195,0.263,0.3423,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:12.4,"urn:cite:hmt:vaimg.VA154VN-0656@0.5065,0.2802,0.4074,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.5,"urn:cite:hmt:vaimg.VA154VN-0656@0.514,0.2992,0.3918,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:12.6,"urn:cite:hmt:vaimg.VA154VN-0656@0.5155,0.3171,0.3854,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.7,"urn:cite:hmt:vaimg.VA154VN-0656@0.5125,0.3336,0.3524,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.8,"urn:cite:hmt:vaimg.VA154VN-0656@0.511,0.3534,0.3918,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:12.9,"urn:cite:hmt:vaimg.VA154VN-0656@0.5105,0.3749,0.4124,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.10,"urn:cite:hmt:vaimg.VA154VN-0656@0.5045,0.3922,0.4154,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.11,"urn:cite:hmt:vaimg.VA154VN-0656@0.507,0.412,0.3918,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:12.12,"urn:cite:hmt:vaimg.VA154VN-0656@0.5085,0.4313,0.4124,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.13,"urn:cite:hmt:vaimg.VA154VN-0656@0.5045,0.4478,0.4154,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:12.14,"urn:cite:hmt:vaimg.VA154VN-0656@0.505,0.4692,0.3978,0.0226"
urn:cts:greekLit:tlg0012.tlg001.msA:12.15,"urn:cite:hmt:vaimg.VA154VN-0656@0.5075,0.4869,0.3994,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:12.16,"urn:cite:hmt:vaimg.VA154VN-0656@0.5025,0.5019,0.3994,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.17,"urn:cite:hmt:vaimg.VA154VN-0656@0.506,0.5248,0.3778,0.0218"
urn:cts:greekLit:tlg0012.tlg001.msA:12.18,"urn:cite:hmt:vaimg.VA154VN-0656@0.5065,0.5432,0.4154,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:12.19,"urn:cite:hmt:vaimg.VA154VN-0656@0.5045,0.5597,0.3754,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.20,"urn:cite:hmt:vaimg.VA154VN-0656@0.505,0.5782,0.3778,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:12.21,"urn:cite:hmt:vaimg.VA154VN-0656@0.5015,0.5988,0.4204,0.0248"
